"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","2.0","2.0","","copresence","240->234","2","0.9966922401979841|0.05641026","","240->234","0.0","0.0","true","","240->234","2.0"
"correl_pearson|dist_bray","1.0","3.0","","copresence","326->380","2","0.0|0.0986981","","326->380","0.0","0.0","true","","326->380","2.0"
"correl_pearson|dist_bray","7.0","72.0","","copresence","139->150","2","0.0|0.03757566","","139->150","0.0","0.0","false","","139->150","2.0"
"correl_pearson|dist_bray","5.0","31.633333333333326","","copresence","139->237","2","0.0|0.04531013","","139->237","0.0","0.0","false","","139->237","2.0"
"correl_pearson|dist_bray","14.0","107.89999999999998","","copresence","272->185","2","0.9998452966865814|0.0092496","","272->185","0.0","0.0","false","","272->185","2.0"
"correl_pearson|dist_bray","5.0","32.633333333333326","","copresence","272->246","2","0.05270044|0.9953160353300946","","272->246","0.0","0.0","false","","272->246","2.0"
"correl_pearson|dist_bray","2.0","17.5","","copresence","272->303","2","0.0|0.03023607","","272->303","0.0","0.0","true","","272->303","2.0"
"correl_pearson|dist_bray","12.0","89.30000000000001","","copresence","272->139","2","0.08222957|0.9870513339084532","","272->139","0.0","0.0","false","","272->139","2.0"
"correl_pearson|dist_bray","3.0","24.0","","copresence","378->315","2","0.07137493|0.9965006123163282","","378->315","0.0","0.0","true","","378->315","2.0"
"correl_pearson|dist_bray","2.0","17.0","","copresence","200->348","2","0.0|0.0544832","","200->348","0.0","0.0","true","","200->348","2.0"
"correl_pearson|dist_bray","2.0","17.0","","copresence","200->398","2","0.04047619|0.0","","200->398","0.0","0.0","true","","200->398","2.0"
"correl_pearson|dist_bray","1.0","5.0","","copresence","314->320","2","0.0|0.0723412","","314->320","0.0","0.0","true","","314->320","2.0"
"correl_pearson|dist_bray","3.0","7.5","","copresence","146->348","2","0.0|0.07319537","","146->348","0.0","0.0","true","","146->348","2.0"
"correl_pearson|dist_bray","5.0","14.5","","copresence","146->350","2","0.0|0.0575445","","146->350","0.0","0.0","false","","146->350","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","256->192","2","0.06711032|0.9909484474293117","","256->192","0.0","0.0","true","","256->192","2.0"
"correl_pearson|dist_bray","4.0","3.0","","copresence","256->285","2","0.0|0.08061264","","256->285","0.0","0.0","false","","256->285","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","256->143","2","0.9974365784280455|0.03545297","","256->143","0.0","0.0","true","","256->143","2.0"
"correl_pearson|dist_bray","3.0","2.0","","copresence","256->146","2","0.9982483307768982|0.02914326","","256->146","0.0","0.0","true","","256->146","2.0"
"correl_pearson|dist_bray","2.0","4.0","","copresence","223->375","2","0.0|0.00546556","","223->375","0.0","0.0","true","","223->375","2.0"
"correl_pearson|dist_bray","2.0","6.0","","copresence","13->223","2","0.04543987|0.0","","13->223","0.0","0.0","true","","13->223","2.0"
"correl_pearson|dist_bray","10.0","109.5","","copresence","282->303","2","0.0|0.06270775","","282->303","0.0","0.0","false","","282->303","2.0"
"correl_pearson|dist_bray","2.0","31.0","","copresence","340->237","2","0.9864190909931642|0.09248515","","340->237","0.0","0.0","true","","340->237","2.0"
"correl_pearson|dist_bray","3.0","32.0","","copresence","340->303","2","0.9884543424969355|0.08580177","","340->303","0.0","0.0","true","","340->303","2.0"
"correl_pearson|dist_bray","6.0","53.66666666666666","","copresence","340->315","2","0.07308405|0.9950691272969092","","340->315","0.0","0.0","false","","340->315","2.0"
"correl_pearson|dist_bray","3.0","23.79999999999999","","copresence","340->282","2","0.02309403|0.9992060750068101","","340->282","0.0","0.0","true","","340->282","2.0"
"correl_pearson|dist_bray","7.0","51.35000000000001","","copresence","237->282","2","0.0|0.06939112","","237->282","0.0","0.0","false","","237->282","2.0"
"correl_pearson|dist_bray","2.0","4.0","","copresence","176->222","2","0.0|0.01296083","","176->222","0.0","0.0","true","","176->222","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","176->304","2","0.0|0.05975275","","176->304","0.0","0.0","true","","176->304","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","209->332","2","0.0|0.0895051","","209->332","0.0","0.0","true","","209->332","2.0"
"correl_pearson|dist_bray","2.0","9.0","","copresence","319->170","2","0.0932222|0.984559823259556","","319->170","0.0","0.0","true","","319->170","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","416->275","2","0.992396891840753|0.09978891","","416->275","0.0","0.0","true","","416->275","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","134->62","2","0.09882254|0.9950132038821279","","134->62","0.0","0.0","true","","134->62","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","329->417","2","0.0|0.09451516","","329->417","0.0","0.0","true","","329->417","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","1->147","2","0.0|0.09754028","","1->147","0.0","0.0","true","","1->147","2.0"
"correl_pearson|dist_bray","2.0","38.0","","copresence","356->282","2","0.9879918921726093|0.09047358","","356->282","0.0","0.0","true","","356->282","2.0"
"correl_pearson|dist_bray","8.0","105.83333333333331","","copresence","356->418","2","0.0|0.08595593","","356->418","0.0","0.0","false","","356->418","2.0"
"correl_pearson|dist_bray","7.0","71.33333333333334","","copresence","395->418","2","0.05487473|0.0","","395->418","0.0","0.0","false","","395->418","2.0"
"correl_pearson|dist_bray","4.0","38.0","","copresence","395->423","2","0.0|0.08234432","","395->423","0.0","0.0","false","","395->423","2.0"
"correl_pearson|dist_bray","15.0","174.33333333333334","","copresence","395->272","2","0.09186405|0.986490678486753","","395->272","0.0","0.0","false","","395->272","2.0"
"correl_pearson|dist_bray","3.0","26.25","","copresence","395->282","2","0.05939237|0.9945787339741626","","395->282","0.0","0.0","true","","395->282","2.0"
"correl_pearson|dist_bray","3.0","21.0","","copresence","395->356","2","0.9987021981846916|0.03108121","","395->356","0.0","0.0","true","","395->356","2.0"
"correl_pearson|dist_bray","1.0","5.0","","copresence","59->123","2","0.0","","59->123","0.0","0.0","true","","59->123","2.0"
"correl_pearson|dist_bray","1.0","4.0","","copresence","42->123","2","0.0","","42->123","0.0","0.0","true","","42->123","2.0"
"correl_pearson|dist_bray","1.0","4.0","","copresence","42->59","2","0.0","","42->59","0.0","0.0","true","","42->59","2.0"
"correl_pearson|dist_bray","3.0","27.0","","copresence","148->200","2","0.0|0.07155531","","148->200","0.0","0.0","true","","148->200","2.0"
"correl_pearson|dist_bray","1.0","9.0","","copresence","148->225","2","0.0|0.04926389","","148->225","0.0","0.0","true","","148->225","2.0"
"correl_pearson|dist_bray","1.0","1.0","","copresence","190->213","2","0.0|0.06876169","","190->213","0.0","0.0","true","","190->213","2.0"
"correl_pearson|dist_bray","1.0","2.0","","copresence","428->389","2","0.9893235621082112|0.09067424","","428->389","0.0","0.0","true","","428->389","2.0"
"correl_pearson|dist_bray","7.0","12.25","","copresence","178->198","2","0.0|0.02233434","","178->198","0.0","0.0","false","","178->198","2.0"
"correl_pearson|dist_bray","6.0","12.75","","copresence","178->395","2","0.0|0.0994006","","178->395","0.0","0.0","false","","178->395","2.0"
"correl_pearson|dist_bray","2.0","3.75","","copresence","178->237","2","0.0|0.0293829","","178->237","0.0","0.0","true","","178->237","2.0"
"correl_pearson|dist_bray","1.0","3.0","","copresence","178->303","2","0.0|0.02269952","","178->303","0.0","0.0","true","","178->303","2.0"
"correl_pearson|dist_bray","4.0","6.249999999999999","","copresence","178->418","2","0.0|0.04452587","","178->418","0.0","0.0","false","","178->418","2.0"
"correl_pearson|dist_bray","4.0","10.0","","copresence","178->185","2","0.0|0.00171305","","178->185","0.0","0.0","false","","178->185","2.0"
"correl_pearson|dist_bray","4.0","11.0","","copresence","25->53","2","0.0|0.00750295","","25->53","0.0","0.0","false","","25->53","2.0"
"correl_pearson|dist_bray","2.0","4.0","","copresence","25->14","2","0.07790687|0.9960658977925921","","25->14","0.0","0.0","true","","25->14","2.0"
"correl_pearson|dist_bray","2.0","7.0","","copresence","25->16","2","0.0690898|0.996961185502599","","25->16","0.0","0.0","true","","25->16","2.0"
"correl_pearson|dist_bray","3.0","17.0","","copresence","222->304","2","0.0|0.07271358","","222->304","0.0","0.0","true","","222->304","2.0"
"correl_pearson|dist_bray","3.0","18.0","","copresence","222->170","2","0.07380398|0.9890487463706845","","222->170","0.0","0.0","true","","222->170","2.0"
"correl_pearson|dist_bray","2.0","10.0","","copresence","160->304","2","0.0|0.01197455","","160->304","0.0","0.0","true","","160->304","2.0"
"correl_pearson|dist_bray","2.0","14.0","","copresence","160->222","2","0.0|0.08468813","","160->222","0.0","0.0","true","","160->222","2.0"
"correl_pearson|dist_bray","1.0","6.0","","copresence","327->320","2","0.01715494|0.999511778480029","","327->320","0.0","0.0","true","","327->320","2.0"
