#OTUID	S264_NSW1079774	S266_NSW1079799	S267_NSW1079761	S268_NSW1079767	S269_NSW1079762	S271_NSW1079765	S276_NSW1079738	S277_NSW1079743	S284_NSW1074429	S285_NSW1074428	S286_NSW1079654	S287_NSW1079675	S288_NSW1074458	S289_NSW1074423	S291_NSW1079814	S292_NSW1079784	S295_NSW1079794	S297_NSW1079755	S298_NSW1079750	S299_NSW1079723	S300_NSW1079708	S301_NSW1079713	S302_NSW1079692	S303_NSW1079703	S305_NSW1079718	S306_NSW1079658	S308_NSW1079697	S316_NSW1079793	S317_NSW1079783	S318_NSW1079813	S319_NSW1079808	S320_NSW1079747	S368_NSW1079721	S369_NSW1079821	S370_NSW1079798	S371_NSW1079707	S44_NSW1079717	S5_NSW1079752
53	0	0	0	0	0	0	11	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	0	36	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
55	0	0	0	0	0	57	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	0	74	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
58	57	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0
59	0	0	0	0	0	0	0	0	77	13	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	12	52	67	0	60	9	0	0	32	0	177	14	0
60	0	0	0	0	0	0	0	0	27	0	0	26	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	90	0	0	0	0	0	0	0	0
61	31	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
62	0	0	0	0	0	0	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
