"abundance","ASV","ASVNumber","AverageShortestPathLength","Betweenness Dir","BetweennessCentrality","Bridging Dir","Class","Closeness Dir","ClosenessCentrality","ClusteringCoefficient","degree","Eccentricity","EdgeCount","EigenVector Dir","Genus","Indegree","IsSingleNode","Kingdom","Label","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","negdegree","NeighborhoodConnectivity","Order","oriID","Outdegree","PartnerOfMultiEdgedNodePairs","Phylum","posdegree","Radiality Dir","samplecount","selected","SelfLoops","shared name","Stress","unknowndegree"
"433.0","Cladosporium","00e26040a68e34205446e1a8200c071f","1.0","0.0","0.0","0.0","Dothideomycetes","1.0","1.0","0.0","2","1","2","0.0","Cladosporiaceae","1","false","Fungi","305",,"Unclustered","1.0","305","0","1.0","Capnodiales","305","1","1","Ascomycota","2","8.968609865470852E-4","2","false","0","305","0","0"
"148.0","Granulicella","25accfe37f8319e0ca7f0ba2b1eae49b","1.0","0.0","0.0","0.0","Acidobacteriae","1.0","1.0","0.5","4","1","4","0.0","Acidobacteriaceae_(Subgroup_1)","3","false","Bacteria","38","Cluster 13","Clustered","2.0","38","0","2.0","Acidobacteriales","38","1","2","Acidobacteriota","4","8.968609865470852E-4","2","false","0","38","0","0"
"290.0","539a3deadbee2e58b2b6e05ceabbc0a0","91","1.0","0.0","0.0","0.0","Acidobacteriae","1.0","1.0","0.5","4","1","4","0.0","Acidobacteriaceae_(Subgroup_1)","3","false","Bacteria","91","Cluster 13","Seed","2.0","91","0","2.0","Acidobacteriales","91","1","2","Acidobacteriota","4","8.968609865470852E-4","2","false","0","91","0","0"
"165.0","Acidipila","33d9b7db5af91dfb99f537839576474d","1.4","2.0","0.08333333333333334","0.3636363636363637","Acidobacteriae","4.0","0.7142857142857143","0.5","6","2","6","0.0","Acidobacteriaceae_(Subgroup_1)","1","false","Bacteria","53",,"Unclustered","1.6666666666666667","53","0","3.3333333333333335","Acidobacteriales","53","5","3","Acidobacteriota","6","8.992805755395684E-4","2","false","0","53","15","0"
"668.0","Lophiostoma","e3059e979256b4d61c50e91573b08a9b","1.0","3.0","1.1666666666666665","0.25","Dothideomycetes","2.0","1.0","0.16666666666666666","6","1","6","0.0","Lophiostomataceae","4","false","Fungi","489","Cluster 10","Clustered","2.0","489","0","1.6666666666666667","Pleosporales","489","2","3","Ascomycota","6","8.976660682226212E-4","2","false","0","489","7","0"
"634.0","Trichoderma","8537e50a5b9ef19a7f636c412fea343a","1.6666666666666667","0.0","0.0","0.0","Sordariomycetes","2.0","0.6","0.0","2","2","2","0.0","Hypocreaceae","0","false","Fungi","425",,"Unclustered","1.0","425","0","3.0","Hypocreales","425","2","1","Ascomycota","2","8.976660682226212E-4","4","false","0","425","0","0"
"648.0","Teichospora","f31c72128c9df64d5ab6df48a0d7c42a","0.0","0.0","0.0","0.0","Dothideomycetes","0.0","0.0","0.0","2","0","2","0.0","Teichosporaceae","2","false","Fungi","502",,"Unclustered","1.0","502","0","1.0","Pleosporales","502","0","1","Ascomycota","2","8.960573476702509E-4","5","false","0","502","0","0"
"582.0","Xylariaceae","d1219571cf1bc1f111b62b04756f3980","1.0","0.0","0.0","0.0","Sordariomycetes","1.0","1.0","0.0","2","1","2","0.0","Xylariaceae","0","false","Fungi","474",,"Unclustered","1.0","474","0","1.0","Xylariales","474","2","1","Ascomycota","2","8.968609865470852E-4","2","false","0","474","0","0"
"490.0","Fusarium","56b17ee22867f28d69ceed6536bce3f4","0.0","0.0","0.0","0.0","Sordariomycetes","0.0","0.0","1.0","4","0","4","0.0","Nectriaceae","4","false","Fungi","381",,"Unclustered","2.0","381","0","4.0","Hypocreales","381","0","2","Ascomycota","4","8.960573476702509E-4","6","false","0","381","0","0"
"640.0","Antennariella","5bb8c7a5be2027cafc32713a71422e7d","1.75","0.3333333333333333","0.022727272727272728","0.059523809523809514","Dothideomycetes","5.666666666666667","0.5714285714285714","0.75","8","3","8","0.0","Capnodiaceae","2","false","Fungi","385","Cluster 2","Clustered","4.0","385","0","5.75","Capnodiales","385","6","4","Ascomycota","8","9.006304413089161E-4","6","true","0","385","10","0"
"670.0","Beijerinckiaceae","af6dae6d1cfbd2b67ba39e01196dc488","0.0","0.0","0.0","0.0","Alphaproteobacteria","0.0","0.0","0.0","2","0","2","0.0","Beijerinckiaceae","2","false","Bacteria","193",,"Unclustered","1.0","193","0","3.0","Rhizobiales","193","0","1","Proteobacteria","2","8.960573476702509E-4","4","false","0","193","0","0"
"527.0","Trichothecium","1e8aa122bfdb65791884d37c4d488366","5.142857142857143","0.0","0.0","0.0","Sordariomycetes","3.822619047619048","0.19444444444444442","0.5","4","8","4","0.0","Hypocreales_fam_Incertae_sedis","3","false","Fungi","330",,"Unclustered","2.0","330","0","3.5","Hypocreales","330","1","2","Ascomycota","4","8.991371494569318E-4","2","false","0","330","0","0"
"346.0","Patulibacter","d3df483cbb13c7f8c70820fb7e1e6230","0.0","0.0","0.0","0.0","Thermoleophilia","0.0","0.0","0.0","2","0","2","0.0","Solirubrobacteraceae","2","false","Bacteria","239",,"Unclustered","1.0","239","0","1.0","Solirubrobacterales","239","0","1","Actinobacteriota","2","8.960573476702509E-4","2","false","0","239","0","0"
"409.0","Beijerinckiaceae","fbfc4f21c44d1d884b79e1e06505a8cd","1.0","0.0","0.0","0.0","Alphaproteobacteria","1.0","1.0","0.0","2","1","2","0.0","Beijerinckiaceae","0","false","Bacteria","296",,"Unclustered","1.0","296","0","1.0","Rhizobiales","296","2","1","Proteobacteria","2","8.968609865470852E-4","2","false","0","296","0","0"
"523.0","Coniophora","383e76f6ff679d4db8ca934ce94ae32c","1.625","4.685714285714286","0.2727272727272727","0.34968017057569295","Agaricomycetes","5.5","0.6153846153846154","0.6333333333333333","12","2","12","0.0","Coniophoraceae","8","false","Fungi","351","Cluster 2","Clustered","3.4285714285714284","351","0","5.5","Boletales","351","4","6","Basidiomycota","12","9.004952723998199E-4","2","true","0","351","78","0"
"448.0","Caulobacteraceae","ae04dca2a07ec1aa560e836bc399ea57","1.75","6.0","1.4166666666666665","0.375","Alphaproteobacteria","2.8333333333333335","0.5714285714285714","0.4166666666666667","8","3","8","0.0","Caulobacteraceae","5","false","Bacteria","191","Cluster 6","Clustered","3.0","191","0","2.5","Caulobacterales","191","3","4","Proteobacteria","8","8.983380745620601E-4","2","false","0","191","17","0"
"454.0","Microbacteriaceae","997f0249b100da576e71770c55666efb","1.8","0.6666666666666666","0.05","0.12121212121212123","Actinobacteria","3.3333333333333335","0.5555555555555556","0.6666666666666666","6","3","6","0.0","Microbacteriaceae","3","false","Bacteria","165",,"Unclustered","1.6666666666666667","165","0","3.3333333333333335","Micrococcales","165","3","3","Actinobacteriota","6","8.987417615338526E-4","3","false","0","165","9","0"
"351.0","Pedobacter","d15bd1dcb9de71d7452648673a59f5b8","1.75","4.071428571428571","0.21363636363636357","0.3038379530916844","Bacteroidia","5.333333333333333","0.5714285714285714","0.6333333333333333","12","3","12","0.0","Sphingobacteriaceae","8","false","Bacteria","236","Cluster 2","Clustered","3.4285714285714284","236","0","5.5","Sphingobacteriales","236","4","6","Bacteroidota","12","9.00360144057623E-4","3","true","0","236","44","0"
"475.0","Acetobacteraceae","9c4a605f83d83cbe8c3e6db438830fb7","1.6666666666666667","0.0","0.0","0.0","Alphaproteobacteria","2.0","0.6","0.8333333333333334","6","2","6","0.0","Acetobacteraceae","5","false","Bacteria","168","Cluster 5","Clustered","3.0","168","0","3.0","Acetobacterales","168","1","3","Proteobacteria","6","8.976660682226212E-4","2","false","0","168","0","0"
"465.0","Colletotrichum","2c668c6e985d22dd56bbc9f78c84ca03","1.6666666666666667","2.0","0.05454545454545454","0.6000000000000001","Sordariomycetes","2.0","0.6","0.5","4","2","4","0.0","Glomerellaceae","3","false","Fungi","339","Cluster 12","Clustered","2.0","339","0","2.5","Glomerellales","339","1","2","Ascomycota","4","8.976660682226212E-4","6","false","0","339","6","0"
"593.0","Niesslia","936ed71522910d14e4b21ffdedcbcbef","1.0","3.0","0.13636363636363635","0.3333333333333333","Sordariomycetes","3.0","1.0","0.16666666666666666","6","1","6","0.0","Niessliaceae","1","false","Fungi","436","Cluster 12","Seed","2.0","436","0","2.0","Hypocreales","436","5","3","Ascomycota","6","8.984725965858042E-4","4","false","0","436","15","0"
"342.0","Caulobacteraceae","bd4009c04c990b1851da99ca3eb4ec4a","1.875","1.7333333333333334","0.10714285714285712","0.29545454545454547","Alphaproteobacteria","5.166666666666666","0.5333333333333333","0.6666666666666666","8","3","8","0.0","Caulobacteraceae","5","false","Bacteria","215","Cluster 3","Clustered","4.0","215","0","5.5","Caulobacterales","215","3","4","Proteobacteria","8","9.002250562640659E-4","3","false","0","215","13","0"
"371.0","Curtobacterium","d66072bb4e903a9c1a95728d29427410","1.75","1.184313725490196","0.1220238095238095","0.12466460268317854","Actinobacteria","5.666666666666666","0.5714285714285714","0.7","10","3","10","0.0","Microbacteriaceae","5","false","Bacteria","242","Cluster 3","Clustered","3.7333333333333334","242","0","5.4","Micrococcales","242","5","5","Actinobacteriota","10","9.006304413089161E-4","2","false","0","242","23","0"
"655.0","Quambalaria","c400685e2e38e8f446f902f4f4074f4d","1.75","3.2705882352941176","0.23511904761904756","0.23032311516155748","Exobasidiomycetes","5.666666666666667","0.5714285714285714","0.6","12","3","12","0.0","Quambalariaceae","6","false","Fungi","466","Cluster 3","Clustered","3.7333333333333334","466","0","5.166666666666667","Microstromatales","466","6","6","Basidiomycota","12","9.006304413089161E-4","2","false","0","466","36","0"
"537.0","Bryocella","de62ce36cc9535898769812313168bca","3.4285714285714284","76.0","2.885714285714286","11.692307692307693","Acidobacteriae","6.083333333333333","0.2916666666666667","0.16666666666666666","6","6","6","0.0","Acidobacteriaceae_(Subgroup_1)","3","false","Bacteria","252",,"Unclustered","2.0","252","0","3.0","Acidobacteriales","252","3","3","Acidobacteriota","6","9.009685411817706E-4","2","false","0","252","785","0"
"2510.0","Pseudomonas","a9798bc65e9044a416f0544d8e1a42ef","3.142857142857143","18.4","0.5968253968253968","1.1008547008547007","Gammaproteobacteria","7.5095238095238095","0.3181818181818182","0.5","12","7","12","0.0","Pseudomonadaceae","6","false","Bacteria","185","Cluster 4","Clustered","4.0","185","0","4.5","Pseudomonadales","185","6","6","Proteobacteria","12","9.021277326952571E-4","4","false","0","185","381","0"
"591.0","Teichospora","5ec5151a34c5b6617914f834d1039166","1.3333333333333333","0.5","0.16666666666666666","0.1875","Dothideomycetes","2.5","0.75","0.5","4","2","4","0.0","Teichosporaceae","2","false","Fungi","389","Cluster 7","Seed","2.0","389","0","3.0","Pleosporales","389","2","2","Ascomycota","4","8.98069151324652E-4","4","false","0","389","2","0"
"448.0","Psychroglaciecola","5464b890bc8886e24432241fbd063406","0.0","0.0","0.0","0.0","Alphaproteobacteria","0.0","0.0","0.0","2","0","2","0.0","Beijerinckiaceae","2","false","Bacteria","93",,"Unclustered","1.0","93","0","1.0","Rhizobiales","93","0","1","Proteobacteria","2","8.960573476702509E-4","3","false","0","93","0","0"
"124.0","Acidisoma","111d2bc18f9a6ee8f9f3971f73cea54e","1.0","0.0","0.0","0.0","Alphaproteobacteria","1.0","1.0","0.0","2","1","2","0.0","Acetobacteraceae","0","false","Bacteria","16",,"Unclustered","1.0","16","0","1.0","Acetobacterales","16","2","1","Proteobacteria","2","8.968609865470852E-4","2","false","0","16","0","0"
"2071.0","Melanchlenus","5021c0d27b9c78ded3b2f922c75c3a36","1.0","0.0","0.0","0.0","Eurotiomycetes","2.0","1.0","0.5","4","1","4","0.0","Herpotrichiellaceae","0","false","Fungi","374","Cluster 11","Clustered","2.0","374","0","2.0","Chaetothyriales","374","4","2","Ascomycota","4","8.976660682226212E-4","2","false","0","374","0","0"
"5531.0","Conexibacter","f74a23038095f558d209d451c03c9b7e","1.4","2.5","0.42500000000000004","0.25000000000000006","Thermoleophilia","4.0","0.7142857142857143","0.7","10","2","10","0.0","Solirubrobacteraceae","7","false","Bacteria","289","Cluster 1","Clustered","5.0","289","0","5.0","Solirubrobacterales","289","3","5","Actinobacteriota","10","8.992805755395684E-4","2","false","0","289","15","0"
"591.0","Devriesia","5f58a11393639b4b353ac4843a0d10bf","1.5","7.6761904761904765","0.5651515151515151","0.5728500355366026","Dothideomycetes","6.0","0.6666666666666666","0.5666666666666667","12","2","12","0.0","Teratosphaeriaceae","8","false","Fungi","391","Cluster 2","Clustered","3.4285714285714284","391","0","5.5","Capnodiales","391","4","6","Ascomycota","12","9.009009009009009E-4","4","true","0","391","115","0"
"2334.0","Neophaeomoniella","43c691606189e33a4f0f176d269eea42","0.0","0.0","0.0","0.0","Eurotiomycetes","0.0","0.0","0.5","4","0","4","0.0","Phaeomoniellaceae","4","false","Fungi","362","Cluster 11","Clustered","2.0","362","0","2.0","Phaeomoniellales","362","0","2","Ascomycota","4","8.960573476702509E-4","2","false","0","362","0","0"
"1912.0","Cucurbitariaceae","55eb7da4c46a12d6ee38d7bb73e0ea97","1.0","0.0","0.0","0.0","Dothideomycetes","1.0","1.0","0.5","4","1","4","0.0","Cucurbitariaceae","2","false","Fungi","380","Cluster 11","Seed","2.0","380","0","2.0","Pleosporales","380","2","2","Ascomycota","4","8.968609865470852E-4","6","false","0","380","0","0"
"427.0","Acetobacteraceae","fb068403a8d872596161df6dd77d9f52","0.0","0.0","0.0","0.0","Alphaproteobacteria","0.0","0.0","0.0","4","0","4","0.0","Acetobacteraceae","4","false","Bacteria","294",,"Unclustered","0.6666666666666666","294","0","1.0","Acetobacterales","294","0","2","Proteobacteria","4","8.960573476702509E-4","2","false","0","294","0","0"
"450.0","Pleurodesmospora","0d1e062217db82fac2181b35c6cdcac1","1.0","0.0","0.0","0.0","Pezizomycotina_cls_Incertae_sedis","1.0","1.0","0.0","2","1","2","0.0","Pezizomycotina_fam_Incertae_sedis","0","false","Fungi","316",,"Unclustered","1.0","316","0","2.0","Pezizomycotina_ord_Incertae_sedis","316","2","1","Ascomycota","2","8.968609865470852E-4","6","false","0","316","0","0"
"682.0","Exophiala","ee0757bb4a9cf50cb7389b2bcd62daa1","0.0","0.0","0.0","0.0","Eurotiomycetes","0.0","0.0","0.0","4","0","4","0.0","Herpotrichiellaceae","4","false","Fungi","500",,"Unclustered","0.6666666666666666","500","0","1.5","Chaetothyriales","500","0","2","Ascomycota","4","8.960573476702509E-4","2","false","0","500","0","0"
"255.0","Novosphingobium","8237ae30a8c75c8ed6907cae3fb347d7","1.0","0.0","0.0","0.0","Alphaproteobacteria","1.0","1.0","0.0","2","1","2","0.0","Sphingomonadaceae","1","false","Bacteria","135",,"Unclustered","1.0","135","0","1.0","Sphingomonadales","135","1","1","Proteobacteria","2","8.968609865470852E-4","3","false","0","135","0","0"
"287.0","Elsterales","931552926c733915e6b32064c37ac687","1.0","0.0","0.0","0.0","Alphaproteobacteria","1.0","1.0","0.0","2","1","2","0.0","Elsterales","1","false","Bacteria","157",,"Unclustered","1.0","157","0","1.0","Elsterales","157","1","1","Proteobacteria","2","8.968609865470852E-4","2","false","0","157","0","0"
"476.0","Bacteria","deb5f5eb45e53c55441b995f9212757e","4.214285714285714","31.0","1.2714285714285716","2.583333333333333","Bacteria","5.0095238095238095","0.23728813559322035","0.3333333333333333","8","7","8","0.0","Bacteria","6","false","Bacteria","253",,"Unclustered","1.4","253","0","2.75","Bacteria","253","2","4","Bacteria","8","9.000977248958461E-4","3","false","0","253","336","0"
"653.0","Trichoderma","da0b6d5a466e9803c1fb91ab10d1db90","1.3333333333333333","1.0","0.41666666666666663","0.125","Sordariomycetes","2.5","0.75","0.6666666666666666","6","2","6","0.0","Hypocreaceae","4","false","Fungi","483","Cluster 7","Clustered","1.6666666666666667","483","0","2.3333333333333335","Hypocreales","483","2","3","Ascomycota","6","8.98069151324652E-4","2","false","0","483","5","0"
"727.0","Teratosphaeriaceae","feeabaccf7f7e8bb81fc625d26d59c45","1.0","1.0","0.41666666666666663","0.125","Dothideomycetes","3.0","1.0","0.6666666666666666","6","1","6","0.0","Teratosphaeriaceae","2","false","Fungi","515","Cluster 7","Clustered","1.6666666666666667","515","0","2.3333333333333335","Capnodiales","515","4","3","Ascomycota","6","8.984725965858042E-4","3","false","0","515","5","0"
"396.0","Caulobacteraceae","e4afdb8a27c040e0347181b412465ac1","0.0","0.0","0.0","0.0","Alphaproteobacteria","0.0","0.0","0.0","2","0","2","0.0","Caulobacteraceae","2","false","Bacteria","265",,"Unclustered","1.0","265","0","2.0","Caulobacterales","265","0","1","Proteobacteria","2","8.960573476702509E-4","4","false","0","265","0","0"
