"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","name","pval","qval","selected","shared interaction","shared name","weight"
"dist_bray","0.0","150.0","","copresence","384->88","384->88=dist_bray","NaN","NaN","false","","384->88=dist_bray","0.08626753"
"correl_pearson","132.0","150.0","","copresence","384->88","384->88=correl_pearson","0.0","0.0","false","","384->88=correl_pearson","0.9868775470177141"
"correl_pearson","0.0","1.0","","copresence","155->168","155->168=correl_pearson","0.0","0.0","false","","155->168=correl_pearson","0.0"
"dist_bray","2.0","1.0","","copresence","155->168","155->168=dist_bray","NaN","NaN","false","","155->168=dist_bray","0.02102553"
"dist_bray","2.0","2.0","","copresence","155->72","155->72=dist_bray","NaN","NaN","false","","155->72=dist_bray","0.01789306"
"dist_bray","0.0","2.0","","copresence","9->5","9->5=dist_bray","NaN","NaN","false","","9->5=dist_bray","0.06246773"
"correl_pearson","2.0","2.0","","copresence","9->5","9->5=correl_pearson","0.0","0.0","false","","9->5=correl_pearson","0.9987254813027441"
"correl_pearson","0.0","112.0","","copresence","172->384","172->384=correl_pearson","0.0","0.0","false","","172->384=correl_pearson","0.0"
"correl_pearson","0.0","4.0","","copresence","172->472","172->472=correl_pearson","0.0","0.0","false","","172->472=correl_pearson","0.0"
"dist_bray","104.0","112.0","","copresence","172->384","172->384=dist_bray","NaN","NaN","false","","172->384=dist_bray","0.06587489"
"dist_bray","84.0","120.0","","copresence","472->172","472->172=dist_bray","NaN","NaN","false","","472->172=dist_bray","0.07490007"
"correl_pearson","1.0","2.0","","copresence","484->325","484->325=correl_pearson","0.0","0.0","false","","484->325=correl_pearson","0.9999874092193738"
"dist_bray","1.0","1.0","","copresence","325->484","325->484=dist_bray","NaN","NaN","false","","325->484=dist_bray","0.00273786"
"correl_pearson","0.0","3.0","","copresence","25->289","25->289=correl_pearson","0.0","0.0","false","","25->289=correl_pearson","0.0"
"dist_bray","2.0","3.0","","copresence","25->289","25->289=dist_bray","NaN","NaN","false","","25->289=dist_bray","0.05545207"
