	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber	Keystone
230	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	46df6bd7859f059a3978f109336233ea	230	NonKeystone
231	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Didymocyrtis	46e10427c39e9aff056c163f89d6bc03	231	NonKeystone
232	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	47329e1f5a9eefeecab1aa97878c4082	232	NonKeystone
233	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	476213535665a1076b2c5457d0699e19	233	NonKeystone
234	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	49626af996a00c13b8e12b839bcda9f5	234	NonKeystone
235	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	49c356ae02fedab65704a65ca30ea88f	235	NonKeystone
236	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Naemateliaceae	Dimennazyma	4a2494873b297e931416c83be6dd4f95	236	NonKeystone
237	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales	Capnodiales	4b1bc7c1a9ba858698ad5018094dd64f	237	Keystone
238	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	4b63855d295d9ec6ae5f53b5823bf8ef	238	NonKeystone
239	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	4bfdb9d2b79a97743a668fd6153a196c	239	NonKeystone
240	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	4c3e393d92484653a324e2640e7170af	240	NonKeystone
241	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	4d90f62ce25479584bc6750aca56e08d	241	NonKeystone
242	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales	Sordariales	4ff671c49dc33baf42ba2ccb1eac25d1	242	NonKeystone
243	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	519a47650ee7a90580f77af1816ed81f	243	NonKeystone
244	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Chrysofolia	531c4bcd01b5e12c1c4068cd346e9ee0	244	NonKeystone
245	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Stagonospora	542026601bf67b36a2ed04b6dd4edf38	245	NonKeystone
246	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	56b17ee22867f28d69ceed6536bce3f4	246	NonKeystone
