	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber	Keystone
396	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	ab22bd41b40f836aa59fde3116a5762d	396	NonKeystone
397	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	ac26c94330640692b892c50a98f4031f	397	NonKeystone
398	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	ac496f47d9560a983ad3cb498997dddf	398	NonKeystone
399	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps	ac6b3348b93f7b83abd9b05c96435b28	399	NonKeystone
400	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Genolevuria	ac715d740f95290a3048d4018203b3fd	400	NonKeystone
401	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	ac95b25e6a315d8d49897fcd6fa4f4fc	401	NonKeystone
402	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	acd90b1f80b359616afb7d16dbc6fcd9	402	NonKeystone
403	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	ad735c571ce6b6463ef69f537411a968	403	NonKeystone
404	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Trichomeriaceae	ae052f9ffd283c4c79803702769af477	404	NonKeystone
405	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	ae0c1ce19a4e3aee2f836938b381548c	405	NonKeystone
406	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	af16991ce12daf846fcbcf604f581dea	406	NonKeystone
407	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	afd2f75781755efe238646c1cafd8854	407	NonKeystone
408	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales_fam_Incertae_sedis	Microcyclospora	b01d12496d7315ef2fcb40cd84caa1f8	408	NonKeystone
409	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	b053fa889b428fe4b93dfa1bb3049b5a	409	NonKeystone
410	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cladorrhinum	b05cb7decd06a58b2915447afc23bc3f	410	NonKeystone
411	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	b08eada0989fc7f25577253f8f5ae576	411	NonKeystone
412	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	b0afaaf5763d72c2e1e540aa9d8e33d1	412	NonKeystone
413	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Austroafricana	b202e02536af04f9889cbc40992fe26d	413	NonKeystone
414	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeria	b208a68abeebcafd85d48153ea5c5936	414	NonKeystone
415	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerellaceae	b2bb127a903dd3157241acbe6b275ffc	415	NonKeystone
416	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	b30e3ae81b06202bd6a68870b937f59e	416	NonKeystone
417	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	b3841289f1899ba36d6f319bdd6dcfe7	417	NonKeystone
418	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	b43f8797c9e582b09b69fd978d6c69c9	418	NonKeystone
419	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Saccothecium	b4ea611163cc3ec35e3b9affb4621281	419	NonKeystone
420	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	b504128966e92d77b7ce1509cd4029ed	420	NonKeystone
421	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	b5646d16e0e04fb4b182b57f17d2a3a3	421	NonKeystone
422	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Naemateliaceae	Dimennazyma	b5863f28766ddbb30077437f4a80d764	422	NonKeystone
423	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	b5a8df12588a71fcc81d8832d41e024c	423	NonKeystone
424	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	b702850278877d5c4f90072617cc04f4	424	NonKeystone
425	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Stagonospora	b71bcfdb6e592469a92335efe4594335	425	NonKeystone
426	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Seiridium	b76b64ea7ca11812ee5f314718a74553	426	NonKeystone
427	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Lentitheciaceae	b84db1fb18818e046d5f8a1d474c6c4e	427	NonKeystone
428	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	b8a4461436481aaf126446795f9958c2	428	NonKeystone
429	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium	ba944fb0787d9b4fa9464bf33db8856c	429	NonKeystone
430	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	bae5f35c0867e8414428208bae9c8344	430	NonKeystone
431	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	bc28b2dd7064e25409126009e4bb2af1	431	NonKeystone
432	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium	bee77a247ec5e7401025c010b8afbf20	432	NonKeystone
433	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	befd2f4ad2575d53f36d0a334112a95c	433	NonKeystone
434	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Toxicocladosporium	bf3d1fdd72778e0c63ecb82704dba8aa	434	NonKeystone
435	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neoascochyta	bf94694723841ac55ac0a120c4dd67dd	435	NonKeystone
436	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	bfd158ee3315bd9760a81b4d4a4a02e3	436	NonKeystone
437	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	c00ee919d24adb1860a902a93a014dad	437	NonKeystone
438	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Neodevriesiaceae	Neodevriesia	c1016ce469623ccd5db46567b122bbd1	438	NonKeystone
439	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales	Xylariales	c15ec722312d471ccdbffc2759923eaa	439	NonKeystone
440	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	c1b7ca82171ef9aa52172aa0156ce3b8	440	NonKeystone
441	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	c1ca3d42b9c28df43192b2620b32af54	441	NonKeystone
442	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	c27f272e57d9d2f18e7a604a03b70acc	442	NonKeystone
443	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	c2fb40b60337843f9417f268614fda6b	443	NonKeystone
444	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Agaricostilbaceae	Sterigmatomyces	c36d6006975cb7aadc08cb2d56759430	444	NonKeystone
445	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	c3e1a8c08a1f7f6ce747d90a21bf4af8	445	NonKeystone
446	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	c6b3b1e5a7333153fd2532117032a746	446	NonKeystone
447	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	c6c303ec40570a32fc80931121416ba7	447	NonKeystone
448	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiaceae	Erythrobasidium	c793386676626d43b8e910db897cc2b3	448	NonKeystone
449	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	c7b44c8597bd0404ec91f0dffd8d9339	449	NonKeystone
