"cooc_method","Edge Betweenness Dir","EdgeBetweenness","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","2.0","50.400000000000034","","copresence","343->266","2","0.0962963|0.9954105283407906","","343->266","0.0","0.0","false","","343->266","2.0"
"correl_pearson|dist_bray","3.0","143.0","","copresence","343->406","2","0.0|0.07953964","","343->406","0.0","0.0","false","","343->406","2.0"
"correl_pearson|dist_bray","8.0","380.0","","copresence","397->387","2","0.0935412|0.9915178341435481","","397->387","0.0","0.0","false","","397->387","2.0"
"correl_pearson|dist_bray","1.0","47.0","","copresence","397->266","2","0.01111111|0.9999051960034107","","397->266","0.0","0.0","false","","397->266","2.0"
"correl_pearson|dist_bray","380.0","6532.0","","copresence","397->498","2","0.0|0.09269841","","397->498","0.0","0.0","false","","397->498","2.0"
"correl_pearson|dist_bray","6.0","27.0","","copresence","39->465","2","0.0|0.07392034","","39->465","0.0","0.0","false","","39->465","2.0"
"correl_pearson|dist_bray","28.0","198.09059829059834","","copresence","318->302","2","0.0|0.9999999999999997","","318->302","0.0","0.0","false","","318->302","2.0"
"correl_pearson|dist_bray","22.0","121.76587301587298","","copresence","318->310","2","0.0|0.9999999999999997","","318->310","0.0","0.0","false","","318->310","2.0"
"correl_pearson|dist_bray","20.0","322.5978070175438","","copresence","318->313","2","0.0845481|0.9982219963789755","","318->313","0.0","0.0","false","","318->313","2.0"
"correl_pearson|dist_bray","3.0","44.70833333333334","","copresence","318->315","2","0.0|0.9999999999999968","","318->315","0.0","0.0","false","","318->315","2.0"
"correl_pearson|dist_bray","272.0","1227.0397217167967","","copresence","318->362","2","0.0|0.01358696","","318->362","0.0","0.0","false","","318->362","2.0"
"correl_pearson|dist_bray","18.0","105.73443223443225","","copresence","318->363","2","0.0","","318->363","0.0","0.0","false","","318->363","2.0"
"correl_pearson|dist_bray","1.0","37.0","","copresence","318->370","2","0.0|0.06313131","","318->370","0.0","0.0","false","","318->370","2.0"
"correl_pearson|dist_bray","3.0","42.72619047619048","","copresence","318->374","2","0.0|0.04336735","","318->374","0.0","0.0","false","","318->374","2.0"
"correl_pearson|dist_bray","10.0","62.962593984962396","","copresence","318->378","2","0.0|0.0911271","","318->378","0.0","0.0","false","","318->378","2.0"
