abundance,AverageShortestPathLength,Betweenness Dir,BetweennessCentrality,Bridging Dir,Centroid Dir,Class,Closeness Dir,ClosenessCentrality,ClusteringCoefficient,degree,Eccentricity,EdgeCount,EigenVector Dir,Family,Genus,Indegree,Outdegree,Species,Kingdom,Label,MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,negdegree,NeighborhoodConnectivity,Order,oriID,PartnerOfMultiEdgedNodePairs,phylum,posdegree,Radiality Dir,samplecount,selected,SelfLoops,shared name,Stress,unknowndegree
425,3.0704225352112675,12.09450873221567,0.048593953,1.3102584753611577,-71,Ascomycota,31.485714285714273,0.3256880733944954,0.3104575163398693,18,7,18,-6.34E-27,Ascomycota,Ascomycota,6,12,3fa3ad1a16d13ef7591a78511147cb07,Fungi,424,Cluster 1,Clustered,8.380952380952381,424,0,38.44444444444444,Ascomycota,424,0,Ascomycota,18,6.754409664595311E-4,1,FALSE,0,424,5862,0
310,2.915492957746479,2.123673066,0.00584225,0.26350016824355776,-71,Sordariomycetes,33.226190476190474,0.3429951690821256,0.29411764705882354,17,7,17,-4.18E-12,Sporocadaceae,Pestalotiopsis,4,13,6f40e983754625c4958310841f7dbd8d,Fungi,309,Cluster 1,Clustered,9,309,0,39.05882352941177,Xylariales,309,0,Ascomycota,17,6.76235941940314E-4,1,FALSE,0,309,576,0
518,2.056338028169014,246.01942962910033,1.5015987508097919,26.40130977807079,-71,Dothideomycetes,39.083333333333336,0.4863013698630137,0.22058823529411764,17,4,17,-8.70E-27,Teratosphaeriaceae,Phaeothecoidea,5,12,24c510862b06d1867b33fa2b00a01055,Fungi,517,,Unclustered,4.021978021978022,517,0,35.294117647058826,Capnodiales,517,0,Ascomycota,17,6.789250353606786E-4,1,FALSE,0,517,65181,0
273,3.4788732394366195,135.0355749616229,0.8118048208648719,15.616690768231356,-71,Sordariomycetes,28.226190476190474,0.2874493927125506,0.3161764705882353,17,7,17,-2.00E-15,Nectriaceae,Nectriaceae,6,11,90267d6b05e649e1ff89ed7568607b8d,Fungi,272,Cluster 5,Clustered,7.7142857142857135,272,0,37,Hypocreales,272,0,Ascomycota,17,6.739571716264031E-4,1,FALSE,0,272,44737,0
287,2.056338028169014,1053.8670598008423,6.547876972769868,124.11195195951741,-71,Sordariomycetes,39.58333333333333,0.4863013698630137,0.20952380952380953,15,4,15,2.0031735105431287E-15,Sporocadaceae,Neopestalotiopsis,2,13,2c5727cb77e572ca87c0e05f53e66160,Fungi,261,,Unclustered,4.472727272727273,261,0,31.8,Xylariales,261,0,Ascomycota,15,6.791555832248568E-4,2,FALSE,0,261,262237,0
505,2.535211267605634,45.12136793233497,0.2980927100638248,8.031968826963357,-71,Eurotiomycetes,34.29999999999999,0.39444444444444443,0.13636363636363635,12,5,12,6.691715883290637E-13,Trichomeriaceae,Trichomeriaceae,1,11,0c0ac27cda780a3e4360db311c04179a,Fungi,475,,Unclustered,1.4181818181818182,475,0,28.416666666666668,Chaetothyriales,475,0,Ascomycota,12,6.767273465520735E-4,6,FALSE,0,475,24786,0
300,0,0,0,0,0,Dothideomycetes,0,0,0.12727272727272726,11,0,11,-2.11E-27,Pleosporaceae,Alternaria,11,0,5e5e52a6f5271a12ce9005e18fc0ef2f,Fungi,266,Cluster 8,Clustered,1.5833333333333335,266,0,17.09090909090909,Pleosporales,266,0,Ascomycota,11,6.613756613756613E-4,2,FALSE,0,266,0,0
457,3.7746478873239435,19.54193670553175,0.14477234984550746,12.721651823975932,-71,Eurotiomycetes,20.383333333333326,0.26492537313432835,0.23809523809523808,7,6,7,4.256020745441075E-27,Chaetothyriales,Chaetothyriales,6,1,e827af28b633f9ea00a8224165e0bb6a,Fungi,456,,Unclustered,1.8214285714285712,456,0,35.714285714285715,Chaetothyriales,456,0,Ascomycota,7,6.704135334145275E-4,1,FALSE,0,456,14320,0
288,0,0,0,0,0,Alphaproteobacteria,0,0,0.13333333333333333,6,0,6,6.734031653805626E-28,Caulobacteraceae,Caulobacteraceae,6,0,98df5f6173e9cbf2be163c559531fd48,Bacteria,108,,Unclustered,1.2,108,0,3.1666666666666665,Caulobacterales,108,0,Proteobacteria,6,6.613756613756613E-4,2,FALSE,0,108,0,0
318,2.933333333333333,0,0,0,-75,Eurotiomycetes,30.83333333333333,0.34090909090909094,0.1,6,6,6,-7.53E-12,Phaeomoniellales,Phaeomoniellales,0,6,26f7a65a52b2def3ad81a9a584697b55,Fungi,285,Cluster 8,Clustered,1.4,285,0,18.166666666666668,Phaeomoniellales,285,0,Ascomycota,6,6.751434679869467E-4,2,FALSE,0,285,0,0
179,0,0,0,0,0,Actinobacteria,0,0,0.2,5,0,5,-1.74E-26,Kineosporiaceae,Quadrisphaera,5,0,6bf93d6f84bd9ee0611de7c927d5b508,Bacteria,73,,Unclustered,1.2,73,0,3.6,Kineosporiales,73,0,Actinobacteriota,5,6.613756613756613E-4,2,FALSE,0,73,0,0
549,1,1.5,0.13095238095238093,0.2535211267605634,-1,Ascomycota,1,1,0.35,5,1,5,-9.69E-27,Ascomycota,Ascomycota,4,1,bc91880b91426e5f4bbfb1d788a2d1ab,Fungi,407,Cluster 4,Clustered,2.4000000000000004,407,0,4.4,Ascomycota,407,0,Ascomycota,5,6.618133686300463E-4,2,FALSE,0,407,16,0
722,1,0,0,0,-5,Dothideomycetes,5,1,0.25,5,1,5,-3.21E-12,Capnodiales,Capnodiales,0,5,01a64bb94197f82f4d8dc8d95d54bf79,Fungi,489,Cluster 4,Clustered,2.7,489,0,4,Capnodiales,489,0,Ascomycota,5,6.635700066357001E-4,2,FALSE,0,489,0,0
645,1,1.5,0.13095238095238093,0.2535211267605634,-2,Ascomycota,2,1,0.35,5,1,5,1.3331829401031761E-26,Ascomycota,Ascomycota,3,2,d55f1a04d1d4b591527d71c1cff3c608,Fungi,481,Cluster 4,Clustered,2.4000000000000004,481,0,4.4,Ascomycota,481,0,Ascomycota,5,6.622516556291391E-4,3,FALSE,0,481,16,0
387,1.3333333333333333,1.5,0.17857142857142855,0.2535211267605634,-3,Ascomycota,2.5,0.75,0.3,5,2,5,2.4702109676294178E-27,Ascomycota,Ascomycota,3,2,94cb52c6f267772837d92d29384acf8c,Fungi,268,Cluster 4,Clustered,2.7,268,0,4.4,Ascomycota,268,0,Ascomycota,5,6.62471016893011E-4,2,FALSE,0,268,20,0
302,1,0,0,0,-5,Acidobacteriae,5,1,0.25,5,1,5,7.838705142001787E-14,Acidobacteriaceae_(Subgroup_1),c30f04f44921b748cd37f91284622d72,0,5,138,Bacteria,138,,Unclustered,2.4000000000000004,138,0,4,Acidobacteriales,138,0,Acidobacteriota,5,6.635700066357001E-4,2,FALSE,0,138,0,0
311,1.25,5,0.55,0.4800000000000001,-4,Gammaproteobacteria,3.5,0.8,0.2,5,2,5,-6.95E-28,Xanthomonadaceae,Xanthomonadaceae,2,3,75cfc53ad43494005052731091688e9b,Bacteria,84,,Unclustered,1.2,84,0,2.6,Xanthomonadales,84,0,Proteobacteria,5,6.629101756711965E-4,2,FALSE,0,84,11,0
1622,1,0,0,0,-4,Exobasidiomycetes,4,1,0.25,4,1,4,5.679947733049435E-13,Exobasidiaceae,Exobasidium,0,4,fcd8544d225fd45e43a5987ee56a178b,Fungi,515,,Unclustered,1.4,515,0,4.25,Exobasidiales,515,0,Basidiomycota,4,6.63129973474801E-4,2,FALSE,0,515,0,0
405,5.2368421052631575,8.2,0.058389656185718446,2.3800753904146466,-76,Ascomycota,17.78809523809523,0.19095477386934676,0.083333333,4,8,4,1.6470608344024127E-11,Ascomycota,Ascomycota,1,3,69f462b06c014358db02aacbbeedd534,Fungi,343,,Unclustered,2,343,0,16.5,Ascomycota,343,0,Ascomycota,4,6.692491184236327E-4,5,FALSE,0,343,419,0
450,4.364864864864865,77,0.5114604760505437,30.98780487804878,-74,Sordariomycetes,20.63809523809523,0.22910216718266255,0.25,4,7,4,2.0031735104988996E-15,Cryphonectriaceae,Cryphonectriaceae,1,3,990ad189ea009e1b629474a6af569fef,Fungi,397,Cluster 8,Clustered,1.4,397,0,13,Diaporthales,397,0,Ascomycota,4,6.705280568096921E-4,3,FALSE,0,397,8836,0
341,1,120,0.778136938,31.51193633952255,-3,Ascomycota,3,1,0.25,4,1,4,1.9024543341505584E-27,Ascomycota,Ascomycota,1,3,31929e9278f552ae0fe8d7fa9be63032,Fungi,289,,Unclustered,1.4,289,0,13,Ascomycota,289,0,Ascomycota,4,6.626905235255136E-4,2,FALSE,0,289,18908,0
317,1,0,0,0,-2,Alphaproteobacteria,2,1,0.3333333333333333,4,1,4,-2.00E-13,Acetobacteraceae,Endobacter,2,2,a6bcc085d69c1159fbcbc0fd3925e7cf,Bacteria,118,,Unclustered,2.4000000000000004,118,0,5,Acetobacterales,118,0,Proteobacteria,4,6.622516556291391E-4,2,FALSE,0,118,0,0
449,1,5,0.028357331766088748,0.829145729,-2,Dothideomycetes,2,1,0.16666666666666666,4,1,4,-1.92E-26,Valsariaceae,Valsaria,2,2,08e551f0188209f634b1a313e95210fc,Fungi,387,Cluster 8,Seed,1.6666666666666667,387,0,5.5,Valsariales,387,0,Ascomycota,4,6.622516556291391E-4,3,FALSE,0,387,193,0
405,1.25,1.5,0.17857142857142855,0.4017857142857143,-4,Exobasidiomycetes,3.5,0.8,0.3333333333333333,4,2,4,-4.68E-27,Microstromatales_fam_Incertae_sedis,Pseudomicrostroma,1,3,91d64047a67006f64fa203c16a353465,Fungi,296,Cluster 4,Clustered,3,296,0,4.5,Microstromatales,296,0,Basidiomycota,4,6.629101756711965E-4,2,FALSE,0,296,20,0
405,1,4,0.8333333333333333,0.3333333333333333,-2,Actinobacteria,2,1,0.083333333,4,1,4,7.23252463933684E-27,Microbacteriaceae,Amnibacterium,2,2,e6f35e978bd7ee5baf1f0e2b955965f6,Bacteria,163,Cluster 12,Clustered,2,163,0,1.5,Micrococcales,163,0,Actinobacteriota,4,6.622516556291391E-4,3,FALSE,0,163,10,0
1165,1.2,0,0,0,-5,Eurotiomycetes,4.5,0.8333333333333334,0.25,4,2,4,9.832702657668954E-12,Phaeomoniellaceae,Neophaeomoniella,0,4,75a29bce10f7aa9c753533d206d3d1a4,Fungi,270,,Unclustered,1.4,270,0,3,Phaeomoniellales,270,0,Ascomycota,4,6.633499170812604E-4,2,FALSE,0,270,0,0
