Sample_ID	PCR_Control	Extract_Control	Subset	Source	Site	Source_Site	Site_Source	Source_SiteType	SiteType_Site	Region	SiteType	Accession
S130_NSW1092547_FWD15	FALSE	FALSE	Sample	Themeda_triandra	Jervis_Bay_NP_Parnell_Road	Themeda_triandra_Jervis_Bay_NP_Parnell_Road	Jervis_Bay_NP_Parnell_Road_Themeda_triandra	Themeda_triandra_Natural	Natural_Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	NSW1092547
S131_NSW1092541_FWD15	FALSE	FALSE	Sample	Themeda_triandra	Jervis_Bay_NP_Parnell_Road	Themeda_triandra_Jervis_Bay_NP_Parnell_Road	Jervis_Bay_NP_Parnell_Road_Themeda_triandra	Themeda_triandra_Natural	Natural_Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	NSW1092541
S132_NSW1092596_FWD15	FALSE	FALSE	Sample	Themeda_triandra	Jervis_Bay_NP_Parnell_Road	Themeda_triandra_Jervis_Bay_NP_Parnell_Road	Jervis_Bay_NP_Parnell_Road_Themeda_triandra	Themeda_triandra_Natural	Natural_Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	NSW1092596
S133_NSW1092671_FWD16	FALSE	FALSE	Sample	Microlaena_stipoides	Bournda_NP_North_Tura	Microlaena_stipoides_Bournda_NP_North_Tura	Bournda_NP_North_Tura_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Bournda_NP_North_Tura	South_Coast	Natural	NSW1092671
S134_NSW1092666_FWD16	FALSE	FALSE	Sample	Microlaena_stipoides	Bournda_NP_North_Tura	Microlaena_stipoides_Bournda_NP_North_Tura	Bournda_NP_North_Tura_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Bournda_NP_North_Tura	South_Coast	Natural	NSW1092666
S135_NSW1092661_FWD16	FALSE	FALSE	Sample	Microlaena_stipoides	Bournda_NP_North_Tura	Microlaena_stipoides_Bournda_NP_North_Tura	Bournda_NP_North_Tura_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Bournda_NP_North_Tura	South_Coast	Natural	NSW1092661
S136_NSW1092656_FWD16	FALSE	FALSE	Sample	Microlaena_stipoides	Bournda_NP_North_Tura	Microlaena_stipoides_Bournda_NP_North_Tura	Bournda_NP_North_Tura_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Bournda_NP_North_Tura	South_Coast	Natural	NSW1092656
S137_NSW1092651_FWD16	FALSE	FALSE	Sample	Microlaena_stipoides	Bournda_NP_North_Tura	Microlaena_stipoides_Bournda_NP_North_Tura	Bournda_NP_North_Tura_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Bournda_NP_North_Tura	South_Coast	Natural	NSW1092651
S138_NSW1092646_FWD16	FALSE	FALSE	Sample	Microlaena_stipoides	Bournda_NP_North_Tura	Microlaena_stipoides_Bournda_NP_North_Tura	Bournda_NP_North_Tura_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Bournda_NP_North_Tura	South_Coast	Natural	NSW1092646
S139_NSW1092641_FWD16	FALSE	FALSE	Sample	Microlaena_stipoides	Bournda_NP_North_Tura	Microlaena_stipoides_Bournda_NP_North_Tura	Bournda_NP_North_Tura_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Bournda_NP_North_Tura	South_Coast	Natural	NSW1092641
S14_NSW1092582_FWD09	FALSE	FALSE	Sample	Microlaena_stipoides	Meroo_NP_Romney_Park_Road	Microlaena_stipoides_Meroo_NP_Romney_Park_Road	Meroo_NP_Romney_Park_Road_Microlaena_stipoides	Microlaena_stipoides_Natural	Natural_Meroo_NP_Romney_Park_Road	South_Coast	Natural	NSW1092582
S140_NSW1092472_FWD09	FALSE	FALSE	Sample	Themeda_triandra	Short_Point_Reserve_Merimbula	Themeda_triandra_Short_Point_Reserve_Merimbula	Short_Point_Reserve_Merimbula_Themeda_triandra	Themeda_triandra_Restored	Restored_Short_Point_Reserve_Merimbula	South_Coast	Restored	NSW1092472
S141_NSW1092621_FWD09	FALSE	FALSE	Sample	Themeda_triandra	Short_Point_Reserve_Merimbula	Themeda_triandra_Short_Point_Reserve_Merimbula	Short_Point_Reserve_Merimbula_Themeda_triandra	Themeda_triandra_Restored	Restored_Short_Point_Reserve_Merimbula	South_Coast	Restored	NSW1092621
