SampleID	PCR_Control	Extract_Control	Source	Site	Region	SiteType	Host_SiteType	Host_Region	SiteType_Site	Primer_with_WEHI_adapter	Index_PCR_Plate	Fwd_primer	FWDprimer	REVPrimer	Rev_Primer
S119_NSW1092565_FWD22	FALSE	FALSE	Microlaena_stipoides	Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Jervis_Bay_NP_Parnell_Road	515f/806r	Allison_Plate_4_Run2	Fwd_22	FWD22	REV23	Rev_23
S120_NSW1092560_FWD22	FALSE	FALSE	Microlaena_stipoides	Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Jervis_Bay_NP_Parnell_Road	515f/806r	Allison_Plate_4_Run2	Fwd_22	FWD22	REV24	Rev_24
S121_NSW1092562_FWD23	FALSE	FALSE	Microlaena_stipoides	Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Jervis_Bay_NP_Parnell_Road	515f/806r	Allison_Plate_4_Run2	Fwd_23	FWD23	REV13	Rev_13
S122_NSW1092545_FWD23	FALSE	FALSE	Microlaena_stipoides	Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Jervis_Bay_NP_Parnell_Road	515f/806r	Allison_Plate_4_Run2	Fwd_23	FWD23	REV14	Rev_14
S123_NSW1092540_FWD23	FALSE	FALSE	Microlaena_stipoides	Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Jervis_Bay_NP_Parnell_Road	515f/806r	Allison_Plate_4_Run2	Fwd_23	FWD23	REV15	Rev_15
S124_NSW1092535_FWD23	FALSE	FALSE	Microlaena_stipoides	Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Jervis_Bay_NP_Parnell_Road	515f/806r	Allison_Plate_4_Run2	Fwd_23	FWD23	REV16	Rev_16
S125_NSW1092555_FWD23	FALSE	FALSE	Microlaena_stipoides	Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	Microlaena_stipoides_Natural	Microlaena_stipoides_South_Coast	Natural_Jervis_Bay_NP_Parnell_Road	515f/806r	Allison_Plate_4_Run2	Fwd_23	FWD23	REV17	Rev_17
S126_NSW1092570_FWD13	FALSE	FALSE	Themeda_triandra	Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_South_Coast	Natural_Jervis_Bay_NP_Parnell_Road	515f/806r	Allison_Plate 1_Run3	Fwd_13	FWD13	REV01	Rev_01
S127_NSW1092551_FWD13	FALSE	FALSE	Themeda_triandra	Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_South_Coast	Natural_Jervis_Bay_NP_Parnell_Road	515f/806r	Allison_Plate 1_Run3	Fwd_13	FWD13	REV02	Rev_02
S128_NSW1092546_FWD13	FALSE	FALSE	Themeda_triandra	Jervis_Bay_NP_Parnell_Road	South_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_South_Coast	Natural_Jervis_Bay_NP_Parnell_Road	515f/806r	Allison_Plate 1_Run3	Fwd_13	FWD13	REV03	Rev_03
