#OTUID	S112_NSW1092592_FWD22	S113_NSW1092612_FWD22	S114_NSW1092581_FWD22	S115_NSW1092602_FWD22	S116_NSW1092591_FWD22	S117_NSW1092601_FWD22	S118_NSW1092572_FWD22	S119_NSW1092565_FWD22	S120_NSW1092560_FWD22	S121_NSW1092562_FWD23	S122_NSW1092545_FWD23	S123_NSW1092540_FWD23	S124_NSW1092535_FWD23	S125_NSW1092555_FWD23	S133_NSW1092671_FWD13	S134_NSW1092666_FWD13	S135_NSW1092661_FWD13	S136_NSW1092656_FWD13	S137_NSW1092651_FWD13	S138_NSW1092646_FWD14	S139_NSW1092641_FWD14	S14_NSW1092582_FWD19	S15_NSW1092567_FWD19	S169_NSW1092522_FWD16	S17_NSW1092636_FWD19	S170_NSW1092505_FWD16	S171_NSW1092506_FWD16	S172_NSW1092507_FWD09	S173_NSW1092508_FWD09	S174_NSW1092521_FWD09	S175_NSW1092520_FWD09	S222_NSW1092792_FWD13	S223_NSW1092791_FWD13	S224_NSW1092801_FWD13	S225_NSW1092806_FWD13	S226_NSW1092821_FWD13	S227_NSW1092816_FWD13	S228_NSW1092898_FWD13	S49_NSW1093097_FWD09	S50_NSW1093092_FWD09	S51_NSW1093077_FWD09	S52_NSW1093072_FWD09	S53_NSW1093062_FWD09	S54_NSW1093052_FWD09	S55_NSW1093057_FWD09	S56_NSW1092919_FWD09	S65_NSW1092923_FWD10	S66_NSW1092924_FWD10	S67_NSW1092925_FWD10	S68_NSW1092928_FWD10	S69_NSW1092929_FWD10	S70_NSW1092930_FWD10	S71_NSW1092934_FWD10	S72_NSW1092933_FWD10
55	0	128	880	0	0	902	0	0	0	0	0	0	0	28	0	0	0	0	0	806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	21	309	0	0	0	0	0	0	0	0	0
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0
59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	32	61	0	0	0	0	0	0	0	0
60	0	2061	0	0	0	0	0	0	0	0	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	0	0	0	0	0	0	0	0	165	112	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
62	0	0	0	0	0	0	0	0	4425	0	0	687	0	0	0	0	0	0	187	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	0	0	0	0	0	0	0	0	0	0	0	50	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	9	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	27	0	0	0	0	0	0	0	0	0	0	0
66	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	491	154	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	632	0	0	0	0	0	0	0	0	0	0	0
68	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0
69	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	0	0	0	0	0	0	0	0	126	128	457	14	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	54	0	0	0	0	0	0	0	0	115
71	0	118	21	0	0	0	0	0	0	536	0	1658	23	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	103	3366	0	0	0	0	0	0	0	62
73	0	0	0	299	0	0	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	33	0	64	363	103	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	83	4	12	0	56	0	0	0	0	0	0	0
