	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber
320	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	8db8250d0690f4b531ec9ea09c1dfeaa	320
321	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	8e2703795ea3c53805bd7107ee64458a	321
322	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Ascomycota	8e47237dda4929c4b9babc1a1b65c74d	322
323	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	8ef98cf6b73e89ceacfafe2e68fd1b36	323
324	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	8f6c396b52899eaa03cd5fb7cc3c481b	324
325	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectriaceae	90267d6b05e649e1ff89ed7568607b8d	325
326	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	90e05d3333926ee8560b9c5a503b467c	326
327	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	91a5ed0b7fff9f99d27118103f37de9e	327
328	Fungi	Basidiomycota	Exobasidiomycetes	Microstromatales	Microstromatales_fam_Incertae_sedis	Pseudomicrostroma	91d64047a67006f64fa203c16a353465	328
329	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	925c1912dc5a32e47efb19c2ff4917a7	329
330	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	93f67bae0d9e5171d3f18a6b808b8c4a	330
331	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	946fc636587b9268b1df40e3a9f0853f	331
332	Fungi	Ascomycota	Sordariomycetes	Xylariales	Bartaliniaceae	Bartalinia	950a9ab89a61f9f79a4ec12281797448	332
333	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Halotthiaceae	Sulcosporium	952c6311794f5835a3a24db16b36f5ef	333
334	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	966361d74c5fc1bde089f2fd5c9413fb	334
335	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	9685d5efab791e0ab92349203828495c	335
336	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	970b54e860c33b8c64f8bf35e988050e	336
337	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	997cabda991ca083984f05c60b63350e	337
338	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	9a94a02572540c5965d01e4709f5bfca	338
339	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Didymosphaeriaceae	9bbef00f5baec7b5dad424e27d71d8c9	339
340	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	9c6fe943e913c7ed2b88a61d6b5bb7b8	340
341	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	9cc079e202ca88e382e3f5a800a69dc2	341
342	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	9d48a8f4ec5a320d62be5c001fc358a5	342
343	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymellaceae	9de3565e99abf08d8824062bf2077c50	343
344	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	9ebc2e0a15296e46d6e67434c77d199b	344
345	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	a035d3cf23733dfc79a7869877b26fdb	345
346	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	a1450e8c1cbb403733fbcba2da007a15	346
347	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	a16fd2ee45187ec576b1c3afc2d277bc	347
348	Fungi	Ascomycota	Sordariomycetes	Xylariales	Bartaliniaceae	Bartaliniaceae	a1d709b7370e0fafbc67a4a15105daa2	348
349	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Neopestalotiopsis	a202ee7dbd4b7342bb97567e7eb6d074	349
350	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	a23058b29dd2b51640800fbae2baba6c	350
351	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Tiarosporella	a272aa7eae0e01f2bf9497cb89b5db20	351
352	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Teichosporaceae	Teichospora	a5e795a11b9c0a0f0d7aed60d57cbcf5	352
353	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	a66f0ef2c13257e1904b0290771dfc94	353
354	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malasseziaceae	a759b18ed6f56b7f93911c5a127f9042	354
355	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	a96078b17eb82a36a9f89d8b4c0441b4	355
356	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeria	a9c59f2f64e03fc22dd22ce250179fff	356
357	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	ab22bd41b40f836aa59fde3116a5762d	357
358	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	ab91bf19903b41ff92cff7ca6adf2c6e	358
359	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	ac496f47d9560a983ad3cb498997dddf	359
360	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	acd90b1f80b359616afb7d16dbc6fcd9	360
361	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	ada19fb84a10954399c429afccef6e5e	361
362	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	adec0152b5f1f373dc6f778ed5585dae	362
363	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	af16991ce12daf846fcbcf604f581dea	363
364	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Tiarosporella	af753b8f4c00f0f028bcc73ba3b52922	364
365	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Brachybasidiaceae	Meira	b097b865aeee1307f1cef18a0f5da77a	365
366	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	b108e78f772ab01a042cffc8c5bade02	366
367	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	b40435e83311758f485b29c4c8b3ddce	367
368	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	b40f2c3976ebec6b841eb6baac1b8cd6	368
369	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Schizoparmaceae	Coniella	b4b4ce71117ee941e8230703c663c0b2	369
370	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	b5016015a98541b0bae089faed784242	370
371	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	b504128966e92d77b7ce1509cd4029ed	371
372	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Stagonospora	b71bcfdb6e592469a92335efe4594335	372
373	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	b748f83be46dd5c3d63dd87a171efd50	373
