"cooc_method","Edge Betweenness Dir","interaction","interactionType","Label","method_number","method_scores","methodname_score","name","pval","qval","selected","shared interaction","shared name","weight"
"correl_pearson|dist_bray","19.0",,"copresence","289->594","2","0.0|0.09574468","","289->594","0.0","0.0","false",,"289->594","2.0"
"correl_pearson|dist_bray","7.0",,"copresence","307->234","2","0.0|0.9999999999999976","","307->234","0.0","0.0","false",,"307->234","2.0"
"correl_pearson|dist_bray","488.0",,"copresence","451->435","2","0.0|0.9999999999999962","","451->435","0.0","0.0","false",,"451->435","2.0"
"correl_pearson|dist_bray","8.0",,"copresence","741->622","2","0.9999555021154529|0.00934579","","741->622","0.0","0.0","false",,"741->622","2.0"
"correl_pearson|dist_bray","5.0",,"copresence","634->671","2","0.0|0.00936037","","634->671","0.0","0.0","false",,"634->671","2.0"
"correl_pearson|dist_bray","10.0",,"copresence","307->594","2","0.0|0.09574468","","307->594","0.0","0.0","false",,"307->594","2.0"
"correl_pearson|dist_bray","2.0",,"copresence","450->439","2","0.03719912|0.9995268470140489","","450->439","0.0","0.0","false",,"450->439","2.0"
"correl_pearson|dist_bray","2.0",,"copresence","639->439","2","0.03719912|0.9995268470140499","","639->439","0.0","0.0","false",,"639->439","2.0"
"correl_pearson|dist_bray","5.0",,"copresence","207->439","2","0.0|0.03719912","","207->439","0.0","0.0","false",,"207->439","2.0"
"correl_pearson|dist_bray","197.0",,"copresence","265->638","2","0.0","","265->638","0.0","0.0","false",,"265->638","2.0"
"correl_pearson|dist_bray","27.0",,"copresence","289->517","2","0.0|0.04251386","","289->517","0.0","0.0","false",,"289->517","2.0"
"correl_pearson|dist_bray","73.0",,"copresence","265->501","2","0.0","","265->501","0.0","0.0","false",,"265->501","2.0"
"correl_pearson|dist_bray","185.0",,"copresence","441->671","2","0.0","","441->671","0.0","0.0","false",,"441->671","2.0"
"correl_pearson|dist_bray","4.0",,"copresence","741->344","2","0.00934579|0.9999555021154514","","741->344","0.0","0.0","false",,"741->344","2.0"
"correl_pearson|dist_bray","21.0",,"copresence","207->435","2","0.0","","207->435","0.0","0.0","false",,"207->435","2.0"
"correl_pearson|dist_bray","6.0",,"copresence","450->357","2","0.0|0.9999999999999983","","450->357","0.0","0.0","false",,"450->357","2.0"
"correl_pearson|dist_bray","71.0",,"copresence","298->634","2","0.0|0.00936037","","298->634","0.0","0.0","false",,"298->634","2.0"
"correl_pearson|dist_bray","20.0",,"copresence","198->517","2","0.0|0.04251386","","198->517","0.0","0.0","false",,"198->517","2.0"
"correl_pearson|dist_bray","10.0",,"copresence","298->344","2","0.0","","298->344","0.0","0.0","false",,"298->344","2.0"
"correl_pearson|dist_bray","133.0",,"copresence","545->323","2","0.9995706041345271|0.02846975","","545->323","0.0","0.0","false",,"545->323","2.0"
"correl_pearson|dist_bray","5.0",,"copresence","741->709","2","0.9999555021154527|0.00934579","","741->709","0.0","0.0","false",,"741->709","2.0"
"correl_pearson|dist_bray","523.0",,"copresence","344->709","2","0.0","","344->709","0.0","0.0","false",,"344->709","2.0"
"correl_pearson|dist_bray","17.0",,"copresence","638->709","2","0.0","","638->709","0.0","0.0","false",,"638->709","2.0"
"correl_pearson|dist_bray","143.0",,"copresence","441->517","2","0.0|0.04251386","","441->517","0.0","0.0","false",,"441->517","2.0"
"correl_pearson|dist_bray","648.0",,"copresence","198->741","2","0.0|0.00934579","","198->741","0.0","0.0","false",,"198->741","2.0"
"correl_pearson|dist_bray","205.0",,"copresence","357->501","2","0.0","","357->501","0.0","0.0","false",,"357->501","2.0"
"correl_pearson|dist_bray","17.0",,"copresence","207->265","2","0.0","","207->265","0.0","0.0","false",,"207->265","2.0"
"correl_pearson|dist_bray","14.0",,"copresence","207->709","2","0.0","","207->709","0.0","0.0","false",,"207->709","2.0"
"correl_pearson|dist_bray","7.0",,"copresence","637->709","2","0.0","","637->709","0.0","0.0","false",,"637->709","2.0"
"correl_pearson|dist_bray","198.0",,"copresence","545->622","2","0.0|0.02846975","","545->622","0.0","0.0","false",,"545->622","2.0"
"correl_pearson|dist_bray","3.0",,"copresence","747->243","2","0.0|0.9999999999999997","","747->243","0.0","0.0","false",,"747->243","2.0"
"correl_pearson|dist_bray","205.0",,"copresence","265->709","2","0.0","","265->709","0.0","0.0","false",,"265->709","2.0"
"correl_pearson|dist_bray","30.0",,"copresence","198->441","2","0.0","","198->441","0.0","0.0","false",,"198->441","2.0"
"correl_pearson|dist_bray","2933.0",,"copresence","671->678","2","0.0","","671->678","0.0","0.0","false",,"671->678","2.0"
"correl_pearson|dist_bray","6.0",,"copresence","450->234","2","0.0|0.9999999999999972","","450->234","0.0","0.0","false",,"450->234","2.0"
"correl_pearson|dist_bray","27.0",,"copresence","727->323","2","0.0|0.9999999999999949","","727->323","0.0","0.0","false",,"727->323","2.0"
"correl_pearson|dist_bray","81.0",,"copresence","594->709","2","0.0|0.09574468","","594->709","0.0","0.0","false",,"594->709","2.0"
"correl_pearson|dist_bray","8.0",,"copresence","289->501","2","0.0","","289->501","0.0","0.0","false",,"289->501","2.0"
"correl_pearson|dist_bray","1.0",,"copresence","441->439","2","0.9995268470140474|0.03719912","","441->439","0.0","0.0","false",,"441->439","2.0"
"correl_pearson|dist_bray","6.0",,"copresence","450->594","2","0.0|0.09574468","","450->594","0.0","0.0","false",,"450->594","2.0"
"correl_pearson|dist_bray","26.0",,"copresence","594->501","2","0.9944223268532792|0.09574468","","594->501","0.0","0.0","false",,"594->501","2.0"
"correl_pearson|dist_bray","83.0",,"copresence","458->709","2","0.0","","458->709","0.0","0.0","false",,"458->709","2.0"
"correl_pearson|dist_bray","4.0",,"copresence","450->344","2","0.0|0.9999999999999936","","450->344","0.0","0.0","false",,"450->344","2.0"
"correl_pearson|dist_bray","640.0",,"copresence","198->289","2","0.0","","198->289","0.0","0.0","false",,"198->289","2.0"
"correl_pearson|dist_bray","1.0",,"copresence","634->517","2","0.999462616028087|0.04251386","","634->517","0.0","0.0","false",,"634->517","2.0"
"correl_pearson|dist_bray","4.0",,"copresence","747->622","2","0.0|0.9999999999999992","","747->622","0.0","0.0","false",,"747->622","2.0"
"correl_pearson|dist_bray","3.0",,"copresence","747->439","2","0.9995268470140527|0.03719912","","747->439","0.0","0.0","false",,"747->439","2.0"
"correl_pearson|dist_bray","2.0",,"copresence","458->344","2","0.0|0.9999999999999989","","458->344","0.0","0.0","false",,"458->344","2.0"
"correl_pearson|dist_bray","219.0",,"copresence","357->638","2","0.0","","357->638","0.0","0.0","false",,"357->638","2.0"
