"abundance","ASV","ASVNumber","AverageShortestPathLength","Betweenness Dir","BetweennessCentrality","Bridging Dir","Centroid Dir","Class","Closeness Dir","ClosenessCentrality","ClusteringCoefficient","degree","Eccentricity","EdgeCount","EigenVector Dir","Family","Genus","Indegree","IsSingleNode","Kingdom","Label","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","negdegree","NeighborhoodConnectivity","Order","oriID","Outdegree","PartnerOfMultiEdgedNodePairs","Phylum","posdegree","Radiality Dir","samplecount","selected","SelfLoops","shared name","Stress","unknowndegree"
"341.0","0591ebb0a124ef45dd6e836a596c8857","174","1.0","0.0","0.0","0.0","-1.0","Sordariomycetes","1.0","1.0","0.0","1","1","1","23459.946185841407","Plectosphaerellaceae","Plectosphaerella","0","false","Fungi","174","","Unclustered","0.0","174","0","2.0","Glomerellales","174","1","0","Ascomycota","1","4.878048780487805E-4","3","true","0","174","0","0"
"1102.0","c834ab12cf6bfcac72f25742be5fadd2","650","0.0","0.0","0.0","0.0","0.0","Dothideomycetes","0.0","0.0","0.0","1","0","1","2694.2231211770145","Cladosporiaceae","Cladosporium","1","false","Fungi","650","","Unclustered","0.0","650","0","4.0","Capnodiales","650","0","0","Ascomycota","1","4.8756704046806434E-4","9","true","0","650","0","0"
"495.0","3950057cf81423023446b5dec6aa21f8","308","1.0","0.0","0.0","0.0","-1.0","Dothideomycetes","1.0","1.0","0.0","1","1","1","-6908.5071544827","Pleosporaceae","Stemphylium","0","false","Fungi","308","","Unclustered","0.0","308","0","4.0","Pleosporales","308","1","0","Ascomycota","1","4.878048780487805E-4","2","true","0","308","0","0"
"1048.0","9630d5a5d935dacb9194d276aa3b27ca","527","1.0","0.0","0.0","0.0","-1.0","Dothideomycetes","1.0","1.0","0.0","1","1","1","-5116.594944978427","Pleosporales","Pleosporales","0","false","Fungi","527","","Unclustered","0.0","527","0","2.0","Pleosporales","527","1","0","Ascomycota","1","4.878048780487805E-4","3","true","0","527","0","0"
"542.0","4419f397e3d6ab8731e80b42660006d3","332","0.0","0.0","0.0","0.0","0.0","Dothideomycetes","0.0","0.0","0.0","1","0","1","-79386.18434652967","Didymellaceae","Didymellaceae","1","false","Fungi","332","","Unclustered","0.0","332","0","3.0","Pleosporales","332","0","0","Ascomycota","1","4.8756704046806434E-4","2","true","0","332","0","0"
"423.0","321231bd6655e0a860a337b0be16fabe","293","1.0","0.0","0.0","0.0","-1.0","Sordariomycetes","1.0","1.0","0.5","2","1","2","25639.539437710333","Microdochiaceae","Microdochium","1","false","Fungi","293","Cluster 11","Clustered","2.0","293","0","3.0","Xylariales","293","1","0","Ascomycota","2","4.878048780487805E-4","2","true","0","293","0","0"
"820.0","e141836f626b58813360f5c305af26db","707","0.0","0.0","0.0","0.0","0.0","Exobasidiomycetes","0.0","0.0","0.0","1","0","1","-2.4877304800070343E-10","Microstromatales_fam_Incertae_sedis","Pseudomicrostroma","1","false","Fungi","707","","Unclustered","0.0","707","0","1.0","Microstromatales","707","0","0","Basidiomycota","1","4.8756704046806434E-4","3","true","0","707","0","0"
"793.0","c13916cf3e4222d3209b1d5302a68384","626","1.0","0.0","0.0","0.0","-1.0","Sordariomycetes","1.0","1.0","0.0","1","1","1","6023.465589124304","Sarocladiaceae","Parasarocladium","0","false","Fungi","626","","Unclustered","0.0","626","0","1.0","Hypocreales","626","1","0","Ascomycota","1","4.878048780487805E-4","3","true","0","626","0","0"
"718.0","b677abe7a5cdc7b6893e89ffdc7b281a","610","1.0","0.0","0.0","0.0","-1.0","Tremellomycetes","1.0","1.0","0.5","2","1","2","54618.46968291091","Rhynchogastremataceae","Papiliotrema","1","false","Fungi","610","Cluster 9","Seed","2.0","610","0","3.5","Tremellales","610","1","0","Basidiomycota","2","4.878048780487805E-4","2","true","0","610","0","0"
"524.0","1ab9ce8c2bc51bb4addfb5aa0074867d","236","0.0","0.0","0.0","0.0","0.0","Dothideomycetes","0.0","0.0","0.0","1","0","1","-1.1822471565877586E-10","Pleosporales","Pleosporales","1","false","Fungi","236","","Unclustered","0.0","236","0","1.0","Pleosporales","236","0","0","Ascomycota","1","4.8756704046806434E-4","2","true","0","236","0","0"
"1867.0","eca0fd82fff66a4261412d3f4619665a","723","1.0","0.0","0.0","0.0","-1.0","Sordariomycetes","1.0","1.0","0.0","1","1","1","25216.537577083865","Microdochiaceae","Microdochium","0","false","Fungi","723","","Unclustered","0.0","723","0","1.0","Xylariales","723","1","0","Ascomycota","1","4.878048780487805E-4","6","true","0","723","0","0"
"453.0","2d5b1112f6d5caf7784a66f76f3ada55","282","0.0","0.0","0.0","0.0","0.0","Dothideomycetes","0.0","0.0","0.0","1","0","1","-2.863732020158583E-10","Didymosphaeriaceae","Paraphaeosphaeria","1","false","Fungi","282","","Unclustered","0.0","282","0","1.0","Pleosporales","282","0","0","Ascomycota","1","4.8756704046806434E-4","2","true","0","282","0","0"
"317.0","0db6cb578838e0427521d732f07a4f89","194","1.0","0.0","0.0","0.0","-1.0","Dothideomycetes","1.0","1.0","0.0","1","1","1","4477.136753735112","Neodevriesiaceae","Neodevriesia","0","false","Fungi","194","","Unclustered","0.0","194","0","1.0","Capnodiales","194","1","0","Ascomycota","1","4.878048780487805E-4","2","true","0","194","0","0"
"860.0","c7b44c8597bd0404ec91f0dffd8d9339","648","0.0","0.0","0.0","0.0","0.0","Dothideomycetes","0.0","0.0","0.0","1","0","1","-39617.067861037496","Sporormiaceae","Sporormiella","1","false","Fungi","648","","Unclustered","0.0","648","0","4.0","Pleosporales","648","0","0","Ascomycota","1","4.8756704046806434E-4","2","true","0","648","0","0"
"6475.0","cc2915b764b53d86be9c17337954ba02","124","0.0","0.0","0.0","0.0","0.0","Gammaproteobacteria","0.0","0.0","0.5","2","0","2","3.834671820749537E-11","Comamonadaceae","Comamonadaceae","2","false","Bacteria","124","","Unclustered","2.0","124","0","3.5","Burkholderiales","124","0","0","Proteobacteria","2","4.8756704046806434E-4","6","true","0","124","0","0"
"746.0","c1696768f1fb5f80b94fbf0d4b825bc0","627","0.0","0.0","0.0","0.0","0.0","Microbotryomycetes","0.0","0.0","0.0","1","0","1","-9.529620637597558E-11","Sporidiobolaceae","Rhodotorula","1","false","Fungi","627","","Unclustered","0.0","627","0","1.0","Sporidiobolales","627","0","0","Basidiomycota","1","4.8756704046806434E-4","2","true","0","627","0","0"
"563.0","82ba2c9dcc4f9cb6e18d672c5720da0f","461","1.0","0.0","0.0","0.0","-1.0","Tremellomycetes","1.0","1.0","0.0","1","1","1","-26405.221694371838","Bulleribasidiaceae","Hannaella","0","false","Fungi","461","","Unclustered","0.0","461","0","1.0","Tremellales","461","1","0","Basidiomycota","1","4.878048780487805E-4","2","true","0","461","0","0"
"801.0","cd782efff1b09df9d661d856a5b4e4b3","669","4.355769230769231","0.0","0.0","0.0","-104.0","Microbotryomycetes","30.84047619047619","0.22958057395143489","0.08333333333333333","4","7","4","-22049.269142515615","Chrysozymaceae","Vonarxula","0","false","Fungi","669","","Unclustered","2.0","669","0","18.25","Microbotryomycetes_ord_Incertae_sedis","669","4","0","Basidiomycota","4","4.95010412897614E-4","5","true","0","669","0","0"
"912.0","f380da87f755f28cdd34f0c244ecef90","743","1.0","11.0","0.03329839554946384","2.5384615384615388","-2.0","Dothideomycetes","2.0","1.0","0.16666666666666666","4","1","4","-3395.887403048312","Didymosphaeriaceae","Neptunomyces","2","false","Fungi","743","","Unclustered","1.6666666666666667","743","0","4.5","Pleosporales","743","2","0","Ascomycota","4","4.880429477794046E-4","5","true","0","743","826","0"
"243.0","d32e579b3ae7b2aae8d5bf9f027c29af","132","0.0","0.0","0.0","0.0","0.0","Gammaproteobacteria","0.0","0.0","0.0","1","0","1","17583.94147274343","Comamonadaceae","Delftia","1","false","Bacteria","132","","Unclustered","0.0","132","0","2.0","Burkholderiales","132","0","0","Proteobacteria","1","4.8756704046806434E-4","3","true","0","132","0","0"
"517.0","57507e1b2941606f7f7f7ba6e7f90493","379","0.0","0.0","0.0","0.0","0.0","Dothideomycetes","0.0","0.0","0.3333333333333333","4","0","4","-7072.475741573784","Didymellaceae","Didymellaceae","4","false","Fungi","379","Cluster 4","Seed","3.0","379","0","6.75","Pleosporales","379","0","0","Ascomycota","4","4.8756704046806434E-4","2","true","0","379","0","0"
"820.0","e35f1a6ad905e1ed1c02763a9b63eaff","710","0.0","0.0","0.0","0.0","0.0","Ascomycota","0.0","0.0","0.0","1","0","1","3.796731703011016E-11","Ascomycota","Ascomycota","1","false","Fungi","710","","Unclustered","0.0","710","0","1.0","Ascomycota","710","0","0","Ascomycota","1","4.8756704046806434E-4","2","true","0","710","0","0"
"662.0","a2c72eb54418544865f6419996a7bc6d","558","1.0","0.0","0.0","0.0","-1.0","Cystobasidiomycetes","1.0","1.0","0.0","1","1","1","-19245.299875850727","Symmetrosporaceae","Symmetrospora","0","false","Fungi","558","","Unclustered","0.0","558","0","1.0","Cystobasidiomycetes_ord_Incertae_sedis","558","1","0","Basidiomycota","1","4.878048780487805E-4","4","true","0","558","0","0"
"290.0","f48cbba2fe7a2cba3df1c5bcffc1fa83","154","0.0","0.0","0.0","0.0","0.0","Gammaproteobacteria","0.0","0.0","0.0","1","0","1","-17583.94147274331","Oxalobacteraceae","Massilia","1","false","Bacteria","154","","Unclustered","0.0","154","0","2.0","Burkholderiales","154","0","0","Proteobacteria","1","4.8756704046806434E-4","3","true","0","154","0","0"
"259.0","e0f50c5adf537a0a3a63e61720b38ed5","143","1.0","0.0","0.0","0.0","-2.0","Alphaproteobacteria","2.0","1.0","0.0","2","1","2","12788.97617987997","Beijerinckiaceae","Methylobacterium-Methylorubrum","0","false","Bacteria","143","","Unclustered","0.6666666666666666","143","0","1.0","Rhizobiales","143","2","0","Proteobacteria","2","4.880429477794046E-4","3","true","0","143","0","0"
"435.0","3a77885b1b0892f4f3184fbfa568d6cb","310","0.0","0.0","0.0","0.0","0.0","Exobasidiomycetes","0.0","0.0","0.0","1","0","1","-23959.08363137125","Quambalariaceae","Quambalaria","1","false","Fungi","310","","Unclustered","0.0","310","0","2.0","Microstromatales","310","0","0","Basidiomycota","1","4.8756704046806434E-4","2","true","0","310","0","0"
"405.0","3ae01c173d5042839a4e899f8a9ce9a3","311","0.0","0.0","0.0","0.0","0.0","Dothideomycetes","0.0","0.0","0.0","1","0","1","23959.083631371235","Pleosporaceae","Bipolaris","1","false","Fungi","311","","Unclustered","0.0","311","0","2.0","Pleosporales","311","0","0","Ascomycota","1","4.8756704046806434E-4","3","true","0","311","0","0"
"890.0","cbf61a6d9469ba7d7c46860c393194c9","665","1.0","0.0","0.0","0.0","-2.0","Dothideomycetes","2.0","1.0","0.0","2","1","2","6501.99481638568","Dothideaceae","Dothidea","0","false","Fungi","665","","Unclustered","0.6666666666666666","665","0","1.0","Dothideales","665","2","0","Ascomycota","2","4.880429477794046E-4","2","true","0","665","0","0"
"710.0","a759b18ed6f56b7f93911c5a127f9042","567","1.0","0.0","0.0","0.0","-3.0","Malasseziomycetes","3.0","1.0","0.16666666666666666","3","1","3","28606.76076991692","Malasseziaceae","Malasseziaceae","0","false","Fungi","567","Cluster 13","Seed","2.0","567","0","2.3333333333333335","Malasseziales","567","3","0","Basidiomycota","3","4.8828125E-4","2","true","0","567","0","0"
"3399.0","e8473049a435de4d2c6bf0e77ce3b0d8","718","0.0","0.0","0.0","0.0","0.0","Tremellomycetes","0.0","0.0","0.0","1","0","1","14115.966748268143","Filobasidiaceae","Filobasidium","1","false","Fungi","718","","Unclustered","0.0","718","0","2.0","Filobasidiales","718","0","0","Basidiomycota","1","4.8756704046806434E-4","4","true","0","718","0","0"
"864.0","3481fa43fe5fba6aecdc7f9aae6ed9c0","26","0.0","0.0","0.0","0.0","0.0","Gammaproteobacteria","0.0","0.0","0.0","1","0","1","7.118366681011887E-11","Yersiniaceae","Yersiniaceae","1","false","Bacteria","26","","Unclustered","0.0","26","0","1.0","Enterobacterales","26","0","0","Proteobacteria","1","4.8756704046806434E-4","3","true","0","26","0","0"
"2784.0","2adb2ed5be0674d62daf903fe7c340bc","278","1.0","0.0","0.0","0.0","-1.0","Tremellomycetes","1.0","1.0","0.0","1","1","1","-61053.69172542033","Rhynchogastremataceae","Papiliotrema","0","false","Fungi","278","","Unclustered","0.0","278","0","1.0","Tremellales","278","1","0","Basidiomycota","1","4.878048780487805E-4","5","true","0","278","0","0"
"447.0","3c64c570a53a436ca0372c6d637cc52f","315","1.0","0.0","0.0","0.0","-1.0","Dothideomycetes","1.0","1.0","0.0","1","1","1","-3700.9544219266127","Aureobasidiaceae","Aureobasidium","0","false","Fungi","315","","Unclustered","0.0","315","0","3.0","Dothideales","315","1","0","Ascomycota","1","4.878048780487805E-4","2","true","0","315","0","0"
"929.0","ed633d3c3ee822f4e5a3fff443cefb34","726","0.0","0.0","0.0","0.0","0.0","Dothideomycetes","0.0","0.0","0.0","2","0","2","10468.363144622013","Mycosphaerellaceae","Cercospora","2","false","Fungi","726","","Unclustered","0.6666666666666666","726","0","6.0","Capnodiales","726","0","0","Ascomycota","2","4.8756704046806434E-4","5","true","0","726","0","0"
"920.0","d033dd6e94cfb8f4539b01b79d5e2c23","673","0.0","0.0","0.0","0.0","0.0","Sordariomycetes","0.0","0.0","0.0","2","0","2","-8.137656670157607E-11","Sarocladiaceae","Parasarocladium","2","false","Fungi","673","","Unclustered","0.6666666666666666","673","0","2.5","Hypocreales","673","0","0","Ascomycota","2","4.8756704046806434E-4","7","true","0","673","0","0"
"458.0","3ec91b1e27aab6fcc891d8102720eb6a","321","1.0","0.0","0.0","0.0","-1.0","Dothideomycetes","1.0","1.0","0.0","1","1","1","-12774.015149345354","Didymellaceae","Didymellaceae","0","false","Fungi","321","","Unclustered","0.0","321","0","2.0","Pleosporales","321","1","0","Ascomycota","1","4.878048780487805E-4","4","true","0","321","0","0"
"617.0","62a862e5f36a215d63df1d18cfea9d6d","401","0.0","0.0","0.0","0.0","0.0","Sordariomycetes","0.0","0.0","0.0","1","0","1","27585.436694248434","Microdochiaceae","Microdochium","1","false","Fungi","401","","Unclustered","0.0","401","0","3.0","Xylariales","401","0","0","Ascomycota","1","4.8756704046806434E-4","4","true","0","401","0","0"
"959.0","73137923bf67ff795b712578ba12d117","430","0.0","0.0","0.0","0.0","0.0","Dothideomycetes","0.0","0.0","0.5","2","0","2","12368.406846239153","Phaeosphaeriaceae","Phaeosphaeria","2","false","Fungi","430","","Unclustered","2.0","430","0","4.0","Pleosporales","430","0","0","Ascomycota","2","4.8756704046806434E-4","4","true","0","430","0","0"
