Sample	SampleID	PCR_Control	Extract_Control	Subset	Source	Site	Source_Site	Site_Source	Source_SiteType	SiteType_Site	Region	SiteType	Accession	SitePair
S361f_NSW1092863_FWD20	S361f_NSW1092863_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	Melaleuca_quinquenervia_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1092863	SitePair4
S367f_NSW1092811_FWD20	S367f_NSW1092811_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Burrawang_Reserve_Woy_Woy	Melaleuca_quinquenervia_Burrawang_Reserve_Woy_Woy	Burrawang_Reserve_Woy_Woy_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Restored	Restored_Burrawang_Reserve_Woy_Woy	North_Coast	Restored	NSW1092811	SitePair4
S283_NSW1079702_FWD20	S283_NSW1079702_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Colongra_Swamp_NR	Melaleuca_quinquenervia_Colongra_Swamp_NR	Colongra_Swamp_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Colongra_Swamp_NR	North_Coast	Natural	NSW1079702	SitePair1
S284_NSW1074429_FWD21	S284_NSW1074429_FWD21	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Colongra_Swamp_NR	Melaleuca_quinquenervia_Colongra_Swamp_NR	Colongra_Swamp_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Colongra_Swamp_NR	North_Coast	Natural	NSW1074429	SitePair1
S285_NSW1074428_FWD21	S285_NSW1074428_FWD21	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Colongra_Swamp_NR	Melaleuca_quinquenervia_Colongra_Swamp_NR	Colongra_Swamp_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Colongra_Swamp_NR	North_Coast	Natural	NSW1074428	SitePair1
S286_NSW1079654_FWD21	S286_NSW1079654_FWD21	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Colongra_Swamp_NR	Melaleuca_quinquenervia_Colongra_Swamp_NR	Colongra_Swamp_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Colongra_Swamp_NR	North_Coast	Natural	NSW1079654	SitePair1
S287_NSW1079675_FWD21	S287_NSW1079675_FWD21	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Colongra_Swamp_NR	Melaleuca_quinquenervia_Colongra_Swamp_NR	Colongra_Swamp_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Colongra_Swamp_NR	North_Coast	Natural	NSW1079675	SitePair1
S288_NSW1074458_FWD21	S288_NSW1074458_FWD21	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Colongra_Swamp_NR	Melaleuca_quinquenervia_Colongra_Swamp_NR	Colongra_Swamp_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Colongra_Swamp_NR	North_Coast	Natural	NSW1074458	SitePair1
S289_NSW1074423_FWD21	S289_NSW1074423_FWD21	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Colongra_Swamp_NR	Melaleuca_quinquenervia_Colongra_Swamp_NR	Colongra_Swamp_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Colongra_Swamp_NR	North_Coast	Natural	NSW1074423	SitePair1
S371f_NSW1079707_FWD21	S371f_NSW1079707_FWD21	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Colongra_Swamp_NR	Melaleuca_quinquenervia_Colongra_Swamp_NR	Colongra_Swamp_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Colongra_Swamp_NR	North_Coast	Natural	NSW1079707	SitePair1
S44_NSW1079717_FWD12	S44_NSW1079717_FWD12	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Colongra_Swamp_NR	Melaleuca_quinquenervia_Colongra_Swamp_NR	Colongra_Swamp_NR_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Colongra_Swamp_NR	North_Coast	Natural	NSW1079717	SitePair1
S276_NSW1079738_FWD20	S276_NSW1079738_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Crowdy_Bay_National_Park	Melaleuca_quinquenervia_Crowdy_Bay_National_Park	Crowdy_Bay_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Crowdy_Bay_National_Park	North_Coast	Natural	NSW1079738	SitePair1
S277_NSW1079743_FWD20	S277_NSW1079743_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Crowdy_Bay_National_Park	Melaleuca_quinquenervia_Crowdy_Bay_National_Park	Crowdy_Bay_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Crowdy_Bay_National_Park	North_Coast	Natural	NSW1079743	SitePair1
S368f_NSW1079721_FWD20	S368f_NSW1079721_FWD20	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Crowdy_Bay_National_Park	Melaleuca_quinquenervia_Crowdy_Bay_National_Park	Crowdy_Bay_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Crowdy_Bay_National_Park	North_Coast	Natural	NSW1079721	SitePair1
S369f_NSW1079821_FWD21	S369f_NSW1079821_FWD21	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Crowdy_Bay_National_Park	Melaleuca_quinquenervia_Crowdy_Bay_National_Park	Crowdy_Bay_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Crowdy_Bay_National_Park	North_Coast	Natural	NSW1079821	SitePair1
S374f_NSW1079822_FWD21	S374f_NSW1079822_FWD21	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Crowdy_Bay_National_Park	Melaleuca_quinquenervia_Crowdy_Bay_National_Park	Crowdy_Bay_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Crowdy_Bay_National_Park	North_Coast	Natural	NSW1079822	SitePair1
S377f_NSW1079735_FWD21	S377f_NSW1079735_FWD21	FALSE	FALSE	Sample	Melaleuca_quinquenervia	Crowdy_Bay_National_Park	Melaleuca_quinquenervia_Crowdy_Bay_National_Park	Crowdy_Bay_National_Park_Melaleuca_quinquenervia	Melaleuca_quinquenervia_Natural	Natural_Crowdy_Bay_National_Park	North_Coast	Natural	NSW1079735	SitePair1
