Sample	SampleID	PCR_Control	Extract_Control	Source	Site	Region	SiteType	Host_SiteType	Host_Region	SiteType_Site		SitePair
S283_NSW1079702_FWD18	S283_NSW1079702_FWD18	FALSE	FALSE	Melaleuca_quinquenervia	Colongra_Swamp_NR	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Colongra_Swamp_NR		SitePair1
S284_NSW1074429_FWD23	S284_NSW1074429_FWD23	FALSE	FALSE	Melaleuca_quinquenervia	Colongra_Swamp_NR	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Colongra_Swamp_NR		SitePair1
S285_NSW1074428_FWD23	S285_NSW1074428_FWD23	FALSE	FALSE	Melaleuca_quinquenervia	Colongra_Swamp_NR	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Colongra_Swamp_NR		SitePair1
S286_NSW1079654_FWD23	S286_NSW1079654_FWD23	FALSE	FALSE	Melaleuca_quinquenervia	Colongra_Swamp_NR	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Colongra_Swamp_NR		SitePair1
S287_NSW1079675_FWD23	S287_NSW1079675_FWD23	FALSE	FALSE	Melaleuca_quinquenervia	Colongra_Swamp_NR	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Colongra_Swamp_NR		SitePair1
S288_NSW1074458_FWD23	S288_NSW1074458_FWD23	FALSE	FALSE	Melaleuca_quinquenervia	Colongra_Swamp_NR	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Colongra_Swamp_NR		SitePair1
S289_NSW1074423_FWD23	S289_NSW1074423_FWD23	FALSE	FALSE	Melaleuca_quinquenervia	Colongra_Swamp_NR	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Colongra_Swamp_NR		SitePair1
S371_NSW1079707_FWD24	S371_NSW1079707_FWD24	FALSE	FALSE	Melaleuca_quinquenervia	Colongra_Swamp_NR	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Colongra_Swamp_NR		SitePair1
S44_NSW1079717_FWD20	S44_NSW1079717_FWD20	FALSE	FALSE	Melaleuca_quinquenervia	Colongra_Swamp_NR	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Colongra_Swamp_NR		SitePair1
S57_NSW1093021_FWD09	S57_NSW1093021_FWD09	FALSE	FALSE	Themeda_triandra	Colongra_Swamp_NR	North_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_North_Coast	Natural_Colongra_Swamp_NR		SitePair17
S58_NSW1092907_FWD09	S58_NSW1092907_FWD09	FALSE	FALSE	Themeda_triandra	Colongra_Swamp_NR	North_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_North_Coast	Natural_Colongra_Swamp_NR		SitePair17
S59_NSW1093110_FWD09	S59_NSW1093110_FWD09	FALSE	FALSE	Themeda_triandra	Colongra_Swamp_NR	North_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_North_Coast	Natural_Colongra_Swamp_NR		SitePair17
S60_NSW1093000_FWD09	S60_NSW1093000_FWD09	FALSE	FALSE	Themeda_triandra	Colongra_Swamp_NR	North_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_North_Coast	Natural_Colongra_Swamp_NR		SitePair17
S61_NSW1093115_FWD10	S61_NSW1093115_FWD10	FALSE	FALSE	Themeda_triandra	Colongra_Swamp_NR	North_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_North_Coast	Natural_Colongra_Swamp_NR		SitePair17
S62_NSW1093126_FWD10	S62_NSW1093126_FWD10	FALSE	FALSE	Themeda_triandra	Colongra_Swamp_NR	North_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_North_Coast	Natural_Colongra_Swamp_NR		SitePair17
S63_NSW1093002_FWD10	S63_NSW1093002_FWD10	FALSE	FALSE	Themeda_triandra	Colongra_Swamp_NR	North_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_North_Coast	Natural_Colongra_Swamp_NR		SitePair17
S64_NSW1093023_FWD10	S64_NSW1093023_FWD10	FALSE	FALSE	Themeda_triandra	Colongra_Swamp_NR	North_Coast	Natural	Themeda_triandra_Natural	Themeda_triandra_North_Coast	Natural_Colongra_Swamp_NR		SitePair17
S184_NSW1092491_FWD10	S184_NSW1092491_FWD10	FALSE	FALSE	Microlaena_stipoides	Crest_Reserve_Bankstown	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Crest_Reserve_Bankstown		SitePair8
S185_NSW1092492_FWD10	S185_NSW1092492_FWD10	FALSE	FALSE	Microlaena_stipoides	Crest_Reserve_Bankstown	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Crest_Reserve_Bankstown		SitePair8
S186_NSW1092493_FWD10	S186_NSW1092493_FWD10	FALSE	FALSE	Microlaena_stipoides	Crest_Reserve_Bankstown	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Crest_Reserve_Bankstown		SitePair8
S187_NSW1092494_FWD10	S187_NSW1092494_FWD10	FALSE	FALSE	Microlaena_stipoides	Crest_Reserve_Bankstown	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Crest_Reserve_Bankstown		SitePair8
S188_NSW1092496_FWD10	S188_NSW1092496_FWD10	FALSE	FALSE	Microlaena_stipoides	Crest_Reserve_Bankstown	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Crest_Reserve_Bankstown		SitePair8
S189_NSW1092498_FWD10	S189_NSW1092498_FWD10	FALSE	FALSE	Microlaena_stipoides	Crest_Reserve_Bankstown	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Crest_Reserve_Bankstown		SitePair8
S190_NSW1092499_FWD10	S190_NSW1092499_FWD10	FALSE	FALSE	Microlaena_stipoides	Crest_Reserve_Bankstown	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Crest_Reserve_Bankstown		SitePair8
S191_NSW1092486_FWD10	S191_NSW1092486_FWD10	FALSE	FALSE	Themeda_triandra	Crest_Reserve_Bankstown	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Crest_Reserve_Bankstown		SitePair14
S192_NSW1092482_FWD10	S192_NSW1092482_FWD10	FALSE	FALSE	Themeda_triandra	Crest_Reserve_Bankstown	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Crest_Reserve_Bankstown		SitePair14
S193_NSW1092477_FWD10	S193_NSW1092477_FWD10	FALSE	FALSE	Themeda_triandra	Crest_Reserve_Bankstown	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Crest_Reserve_Bankstown		SitePair14
S194_NSW1092487_FWD10	S194_NSW1092487_FWD10	FALSE	FALSE	Themeda_triandra	Crest_Reserve_Bankstown	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Crest_Reserve_Bankstown		SitePair14
S195_NSW1092488_FWD10	S195_NSW1092488_FWD10	FALSE	FALSE	Themeda_triandra	Crest_Reserve_Bankstown	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Crest_Reserve_Bankstown		SitePair14
S196_NSW1092489_FWD11	S196_NSW1092489_FWD11	FALSE	FALSE	Themeda_triandra	Crest_Reserve_Bankstown	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Crest_Reserve_Bankstown		SitePair14
S197_NSW1092502_FWD11	S197_NSW1092502_FWD11	FALSE	FALSE	Themeda_triandra	Crest_Reserve_Bankstown	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Crest_Reserve_Bankstown		SitePair14
S198_NSW1092481_FWD11	S198_NSW1092481_FWD11	FALSE	FALSE	Themeda_triandra	Crest_Reserve_Bankstown	Sydney	Restored	Themeda_triandra_Restored	Themeda_triandra_Sydney	Restored_Crest_Reserve_Bankstown		SitePair14
S22_NSW1092495_FWD17	S22_NSW1092495_FWD17	FALSE	FALSE	Microlaena_stipoides	Crest_Reserve_Bankstown	Sydney	Restored	Microlaena_stipoides_Restored	Microlaena_stipoides_Sydney	Restored_Crest_Reserve_Bankstown		SitePair8
S276_NSW1079738_FWD17	S276_NSW1079738_FWD17	FALSE	FALSE	Melaleuca_quinquenervia	Crowdy_Bay_National_Park	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Crowdy_Bay_National_Park		SitePair1
S277_NSW1079743_FWD17	S277_NSW1079743_FWD17	FALSE	FALSE	Melaleuca_quinquenervia	Crowdy_Bay_National_Park	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Crowdy_Bay_National_Park		SitePair1
S368_NSW1079721_FWD24	S368_NSW1079721_FWD24	FALSE	FALSE	Melaleuca_quinquenervia	Crowdy_Bay_National_Park	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Crowdy_Bay_National_Park		SitePair1
S369_NSW1079821_FWD24	S369_NSW1079821_FWD24	FALSE	FALSE	Melaleuca_quinquenervia	Crowdy_Bay_National_Park	North_Coast	Natural	Melaleuca_quinquenervia_Natural	Melaleuca_quinquenervia_North_Coast	Natural_Crowdy_Bay_National_Park		SitePair1
S147_NSW1092881_FWD14	S147_NSW1092881_FWD14	FALSE	FALSE	Themeda_triandra	Duesburys_Point_Dalmeny	South_Coast	Natural	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Natural_Duesburys_Point_Dalmeny		SitePair18
S148_NSW1092886_FWD14	S148_NSW1092886_FWD14	FALSE	FALSE	Themeda_triandra	Duesburys_Point_Dalmeny	South_Coast	Natural	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Natural_Duesburys_Point_Dalmeny		SitePair18
S149_NSW1092891_FWD14	S149_NSW1092891_FWD14	FALSE	FALSE	Themeda_triandra	Duesburys_Point_Dalmeny	South_Coast	Natural	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Natural_Duesburys_Point_Dalmeny		SitePair18
S150_NSW1092901_FWD15	S150_NSW1092901_FWD15	FALSE	FALSE	Themeda_triandra	Duesburys_Point_Dalmeny	South_Coast	Natural	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Natural_Duesburys_Point_Dalmeny		SitePair18
S151_NSW1092906_FWD15	S151_NSW1092906_FWD15	FALSE	FALSE	Themeda_triandra	Duesburys_Point_Dalmeny	South_Coast	Natural	Themeda_triandra_Restored	Themeda_triandra_South_Coast	Natural_Duesburys_Point_Dalmeny		SitePair18
