	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber
263	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Stagonospora	540213b08726a1745e9e5098ed644554	263
264	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Stagonospora	542026601bf67b36a2ed04b6dd4edf38	264
265	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	542258cf73b1a4404e49e2a937dbde05	265
266	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymellaceae	5482cd0789629e9087de633beee484b1	266
267	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	548a7f0d9035c4905d774eaec60e7e7e	267
268	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	550215984abda5f59ef55299f115b31b	268
269	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Cucurbitariaceae	55eb7da4c46a12d6ee38d7bb73e0ea97	269
270	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	56b17ee22867f28d69ceed6536bce3f4	270
271	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	57367552843f5aaf9657baf1cece6866	271
272	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymellaceae	57507e1b2941606f7f7f7ba6e7f90493	272
273	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	58205dbf44921307dadaccffcf53ede2	273
274	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Sarocladiaceae	Parasarocladium	5862ff7aae4569965f4e5eda2bf7b0fb	274
275	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylariaceae	58a2c5ac06efa96356016db8994fe399	275
276	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	5ae2b312c07fb260a74f7d998b61e539	276
277	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	5d307388415b9fab3ecbef9d3d188913	277
278	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps	5d52e596f701c0d7a345f67346ec7d46	278
279	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	5e5e52a6f5271a12ce9005e18fc0ef2f	279
280	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paraphaeosphaeria	5ec7c71908e9ed0f394cfb7e9c061544	280
281	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	5fbfbc68f75e86786f69fa2860e3deb8	281
