#ASVID	S321_NSW1093091_FWD20	S322_NSW1093019_FWD20	S323_NSW1092986_FWD20	S324_NSW1093014_FWD20	S325_NSW1093096_FWD20	S326_NSW1092981_FWD20	S327_NSW1092968_FWD20	S328_NSW1092999_FWD21	S329_NSW1092843_FWD21	S330_NSW1092977_FWD21	S331_NSW1093004_FWD21	S332_NSW1093846_FWD21	S333_NSW1092994_FWD21	S335_NSW1093066_FWD21	S336_NSW1092853_FWD21	S337_NSW1093095_FWD21	S338_NSW1093081_FWD21	S339_NSW1093076_FWD21	S340_NSW1092976_FWD22	S341_NSW1093061_FWD22	S342_NSW1093003_FWD22	S343_NSW1092992_FWD22	S344_NSW1093071_FWD22	S345_NSW1092948_FWD22	S346_NSW1092971_FWD22	S347_NSW1092989_FWD22	S348_NSW1093054_FWD22	S350_NSW1092982_FWD22	S351_NSW1092963_FWD22	S352_NSW1092858_FWD23	S353_NSW1093009_FWD23	S354_NSW1092967_FWD23	S355_NSW1092997_FWD23	S356_NSW1092987_FWD23	S357_NSW1092949_FWD23	S358_NSW1092950_FWD23	S359_NSW1092962_FWD23	S360_NSW1092972_FWD23	S361_NSW1092863_FWD23	S362_NSW1093120_FWD23	S363_NSW1092991_FWD23	S365_NSW1093100_FWD24	S366_NSW1093016_FWD24	S367_NSW1092811_FWD24
491	0	0	0	0	253	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0
492	0	0	0	0	12	78	0	39	0	0	0	41	0	72	0	0	0	0	25	0	0	0	0	0	370	0	0	0	0	0	0	0	80	0	63	0	0	0	0	737	295	0	0	0
493	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
494	0	237	0	84	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	53	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0
497	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	19	0	0	0	0	0	0	0	0	0	0	232	0	0	0
498	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
499	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	15	0	37	0	0	0	0	222	0	0	0	6	0	0	11	8	0	0	0
500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0
501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0
502	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
503	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	9	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0
504	0	0	78	282	0	0	0	0	0	0	0	0	2777	0	0	0	0	0	0	0	0	0	455	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
505	0	0	0	0	0	120	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
506	0	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
507	0	0	0	0	0	0	0	0	0	0	0	0	116	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
508	0	0	10	0	0	0	0	0	0	0	0	0	6	0	0	78	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	6	0	8	0	28	0	0
509	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0
511	0	0	66	0	0	0	0	44	0	23	0	0	0	0	0	0	0	0	50	164	0	0	40	0	0	0	0	0	0	12	0	0	0	0	0	0	0	57	100	89	92	8	0	0
512	0	0	123	0	0	721	0	0	0	0	0	0	0	0	0	0	0	0	649	0	0	0	0	0	0	265	0	131	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0
513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
514	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	23	0	0	0	0	0	0	0	30	0	0	18	0	0	0	0	0	0	0	23	0	0	0
515	0	16	0	0	47	0	0	0	0	0	0	0	0	0	0	0	19	0	13	0	0	0	0	10	0	6	0	4	12	75	0	0	18	0	0	0	9	6	18	0	10	0	0	0
516	0	0	0	0	0	0	0	0	0	0	188	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
