	Kingdom	Phylum	Class	Order	Family	Genus	ASV	ASVNumber	Keystone
458	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Phialemoniopsis	b339d9bf84b94fee469c60751296f76f	458	NonKeystone
459	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Teratosphaeria	b346a9f7e6e1f4a5d458dd9afc4489ee	459	NonKeystone
460	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Amaurodon	b476292510484c09eae9c7bce4f0663d	460	NonKeystone
461	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Rosellinia	b6d66c45b14256fd38752e89ecccabf8	461	NonKeystone
462	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	b728101c9177c3d8d4532b04b910802e	462	NonKeystone
463	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Didymosphaeriaceae	b90873088e027ab6c9edff5d58881898	463	NonKeystone
464	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Cryphonectriaceae	c24ebde2e6c3b4b1090528f5b2069753	464	NonKeystone
465	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Biscogniauxia	c36bbc4833f3524550e117271d27d3b7	465	NonKeystone
466	Fungi	Basidiomycota	Exobasidiomycetes	Microstromatales	Quambalariaceae	Quambalaria	c400685e2e38e8f446f902f4f4074f4d	466	NonKeystone
467	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Neocrinula	c51515681a216730e9766b6901af8400	467	NonKeystone
468	Fungi	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	c636a388eb1da64810f5ffdceaff16d2	468	NonKeystone
469	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Pezicula	c8ae9abe5d6db88a3b38a78f14da751b	469	NonKeystone
470	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	cb2f5454fd6b12a7c7ddfbca771dcdea	470	NonKeystone
471	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	cd1c07dc935fffc1e9845499e51b1b36	471	NonKeystone
472	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Microcera	cd5c89b1e01c2ee418445713c7ef2e1a	472	NonKeystone
473	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Rosellinia	cffa5a4aa9336e95d0aa44c2e0fcc25d	473	NonKeystone
474	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylariaceae	d1219571cf1bc1f111b62b04756f3980	474	NonKeystone
475	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Teratosphaeriaceae	d16ff0756c5b4c514ddc4e531f43a368	475	NonKeystone
476	Fungi	Basidiomycota	Agaricomycetes	Boletales	Coniophoraceae	Coniophora	d2aca15289ee09ddc98bce57d5cf3d82	476	NonKeystone
477	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Cytospora	d33a6e6245456c04f86ad8cea3ef80f7	477	NonKeystone
478	Fungi	Ascomycota	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	d48b18356562e407badfebb73fc4dfa8	478	NonKeystone
479	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	d5b00d1828dcfcf7158fdf9145ebe195	479	NonKeystone
480	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	d88e47b90566850a76be3cfe0d28d01c	480	NonKeystone
481	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	d8c7c04363586a94e5ed10a3882537ba	481	NonKeystone
482	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	d8d2f32b8460474ac069c0883400d01a	482	NonKeystone
483	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	da0b6d5a466e9803c1fb91ab10d1db90	483	NonKeystone
484	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	dbe220b0d61f2e09f9b6b8100c64bdac	484	NonKeystone
485	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	dc9e7c1983bf7d199830dd32082f2edb	485	NonKeystone
486	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Herpotrichiellaceae	de24efa90c417ceca625f76f6bba3a18	486	NonKeystone
487	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Cryphonectriaceae	Cryphonectriaceae	e1d086007c0034cc90594d15679e00f4	487	NonKeystone
488	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	e255a7cac19c3236b25e183868983627	488	NonKeystone
489	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	e3059e979256b4d61c50e91573b08a9b	489	NonKeystone
490	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Trichothecium	e43a2439a82eb708c38d0d228cbc7542	490	NonKeystone
491	Fungi	Basidiomycota	Agaricomycetes	Boletales	Coniophoraceae	Coniophora	e56893233a2062ee3780d30692a5ea0b	491	NonKeystone
492	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Teichosporaceae	Teichospora	e6304c54bff19aa39f8b5bb48c67e85d	492	NonKeystone
493	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cystostereaceae	Cystostereaceae	e63f5c4fe59b1fe7c03dfec423098d79	493	NonKeystone
494	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Cytospora	e8d13463a1a553bc0ca77cab33c0146b	494	NonKeystone
495	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Rosellinia	e9a196fbd99e218452df51a2cc62e00a	495	NonKeystone
496	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Herpotrichiellaceae	e9d6a7830be3b64285c3b147b7cd21eb	496	NonKeystone
497	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Microcera	ed26a281fcca269a88cebac8e7c56505	497	NonKeystone
498	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	ed3f6cd3c878611842927f9f25b9ba0a	498	NonKeystone
499	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	edcde8c88d08002fefa9f17d8ecfea09	499	NonKeystone
500	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	ee0757bb4a9cf50cb7389b2bcd62daa1	500	NonKeystone
501	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Brachybasidiaceae	Meira	f20368740e8f78f45227fec94674b531	501	NonKeystone
502	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Teichosporaceae	Teichospora	f31c72128c9df64d5ab6df48a0d7c42a	502	NonKeystone
503	Fungi	Ascomycota	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	f38a333318715802a5321b77dafa8ac3	503	NonKeystone
504	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Cytospora	f41796e92c184adab524534cca811965	504	NonKeystone
505	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pterulaceae	Coronicium	f58977134cb60e6b7e86baea7627152e	505	NonKeystone
506	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Valsa	f754d21518a5f36523a92945b2fad280	506	NonKeystone
507	Fungi	Basidiomycota	Agaricomycetes	Boletales	Coniophoraceae	Coniophora	f7579585357f1eb6d0e5f3284bc47016	507	NonKeystone
508	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales	Hypocreales	f79610feeb3d26f12c69b58b23d467ff	508	NonKeystone
509	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales	Capnodiales	f895b0acb109f5d3bc1adb5d0360213f	509	Keystone
510	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales	Capnodiales	f9c79e84f61aed78d53cd6484c9a68f2	510	NonKeystone
511	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Phaeomoniellaceae	Neophaeomoniella	f9d3a9ac64e3959f790fd2d021ecddf4	511	NonKeystone
512	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cystostereaceae	Cystostereaceae	fc0355306fe48cc7bf8c1eff4cc68d67	512	NonKeystone
513	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	fc11c623a53aab62820ddbb612f3ddd2	513	NonKeystone
514	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales	Capnodiales	fdf8df0e0588c6b6d44bb570afe64370	514	NonKeystone
515	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Teratosphaeriaceae	feeabaccf7f7e8bb81fc625d26d59c45	515	NonKeystone
516	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	ffd202f6d81ea25f3d977092f9abc039	516	NonKeystone
